bld=01 node=25 id=O1L_SLZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
22_07_2012; 00:01:45; 293.200; 1.100; 27.00; 22.40;
22_07_2012; 00:49:45; 293.200; 1.200; 26.90; 22.40;
22_07_2012; 01:37:45; 293.200; 1.100; 26.90; 22.40;
22_07_2012; 02:25:45; 293.200; 1.200; 26.80; 22.30;
22_07_2012; 03:13:45; 293.200; 1.200; 26.80; 22.20;
22_07_2012; 04:01:45; 293.200; 1.100; 26.70; 22.10;
22_07_2012; 04:49:45; 293.200; 1.100; 26.60; 22.10;
22_07_2012; 05:37:45; 293.200; 1.100; 26.60; 22.00;
22_07_2012; 06:25:45; 293.200; 1.100; 26.50; 22.00;
22_07_2012; 07:13:45; 293.200; 1.100; 26.40; 21.90;
22_07_2012; 08:01:45; 293.200; 1.300; 26.50; 21.80;
22_07_2012; 08:49:45; 293.200; 1.300; 26.50; 21.90;
22_07_2012; 09:38:45; 293.200; 1.200; 26.50; 21.90;
22_07_2012; 10:26:45; 293.200; 0.000; 26.30; 22.00;
22_07_2012; 11:14:45; 293.200; 0.000; 26.10; 22.10;
22_07_2012; 12:02:45; 293.200; 1.300; 26.40; 22.00;
22_07_2012; 12:50:45; 293.200; 1.200; 26.80; 22.00;
22_07_2012; 13:39:45; 293.200; 1.200; 26.80; 22.10;
22_07_2012; 14:27:45; 293.200; 1.300; 26.90; 22.10;
22_07_2012; 15:15:45; 293.200; 1.300; 26.90; 22.20;
22_07_2012; 16:03:45; 293.300; 1.300; 27.00; 22.20;
22_07_2012; 16:51:45; 293.300; 1.300; 27.00; 22.20;
22_07_2012; 17:40:45; 293.300; 1.300; 27.00; 22.10;
22_07_2012; 18:28:45; 293.300; 1.200; 26.90; 22.20;
22_07_2012; 19:16:45; 293.300; 1.300; 26.90; 22.20;
22_07_2012; 20:04:45; 293.300; 1.300; 26.90; 22.10;
22_07_2012; 20:52:45; 293.300; 1.300; 26.80; 22.10;
22_07_2012; 21:40:45; 293.300; 1.300; 26.80; 22.10;
22_07_2012; 22:28:45; 293.300; 1.500; 27.10; 22.00;
22_07_2012; 23:16:45; 293.300; 1.300; 27.20; 22.10;
