bld=01 node=25 id=O1L_SLZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
25_07_2012; 00:00:45; 293.600; 1.200; 27.70; 22.90;
25_07_2012; 00:48:45; 293.600; 1.300; 27.70; 23.00;
25_07_2012; 01:36:45; 293.600; 1.400; 27.70; 23.00;
25_07_2012; 02:24:45; 293.600; 1.400; 27.70; 23.10;
25_07_2012; 03:12:45; 293.600; 1.200; 27.70; 23.00;
25_07_2012; 04:00:45; 293.600; 1.300; 27.70; 23.10;
25_07_2012; 04:48:45; 293.600; 1.200; 27.70; 23.10;
25_07_2012; 05:36:45; 293.600; 1.300; 27.80; 23.00;
25_07_2012; 06:24:45; 293.700; 1.200; 27.70; 23.10;
25_07_2012; 07:12:45; 293.700; 1.500; 27.80; 23.10;
25_07_2012; 08:00:45; 293.700; 1.400; 27.80; 23.10;
25_07_2012; 08:48:45; 293.700; 1.400; 27.70; 23.10;
25_07_2012; 09:37:45; 293.700; 1.300; 27.80; 23.10;
25_07_2012; 10:25:45; 293.700; 1.400; 27.90; 23.10;
25_07_2012; 11:13:45; 293.700; 1.200; 27.90; 23.20;
25_07_2012; 12:01:45; 293.700; 1.400; 27.80; 23.30;
25_07_2012; 12:49:45; 293.700; 1.300; 27.90; 23.30;
25_07_2012; 13:38:45; 293.700; 1.200; 28.00; 23.30;
25_07_2012; 14:26:45; 293.700; 1.200; 28.00; 23.40;
25_07_2012; 15:14:45; 293.700; 1.300; 28.00; 23.40;
25_07_2012; 16:02:45; 293.700; 1.300; 28.00; 23.50;
25_07_2012; 16:50:45; 293.700; 1.300; 28.10; 23.50;
25_07_2012; 17:38:45; 293.700; 1.200; 28.10; 23.50;
25_07_2012; 18:26:45; 293.700; 1.300; 28.00; 23.50;
25_07_2012; 19:14:45; 293.800; 1.200; 28.10; 23.50;
25_07_2012; 20:02:45; 293.800; 1.300; 28.10; 23.60;
25_07_2012; 20:50:45; 293.800; 1.200; 28.20; 23.60;
25_07_2012; 21:38:45; 293.800; 1.100; 28.20; 23.60;
25_07_2012; 22:26:45; 293.800; 1.300; 28.20; 23.70;
25_07_2012; 23:14:45; 293.800; 1.300; 28.30; 23.70;
