weather_HB37; 21_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
21_11_2010; 00:00:15; 1.75; 994.51; 0.00; 0.00; 51.55; 94.97; 12.96; 13.25; 9.86; -3.60; 34.26; 124.98; 219.28; 
21_11_2010; 00:24:15; 1.67; 994.51; 0.00; 0.00; 64.82; 95.32; 5.31; 12.68; 7.49; 1.67; 35.62; 124.19; 1.49; 
21_11_2010; 00:48:15; 1.83; 994.51; 0.00; 0.00; 59.39; 94.43; 14.15; 14.15; 7.90; -4.24; 91.99; 123.62; 1.41; 
21_11_2010; 01:12:15; 2.05; 994.51; 0.00; 1.42; 118.83; 93.98; 8.28; 8.28; 8.28; 0.25; 58.64; 123.47; 1.50; 
21_11_2010; 01:36:15; 2.08; 994.51; 0.00; 1.70; 51.93; 93.89; 12.79; 13.07; 12.79; -3.11; 49.44; 123.90; 1.39; 
21_11_2010; 02:00:15; 2.25; 994.46; 0.00; 0.85; 81.40; 92.73; 15.53; 24.58; 20.56; -4.53; 57.85; 124.41; 222.37; 
21_11_2010; 02:24:15; 2.47; 994.20; 0.00; 1.13; 54.57; 91.66; 20.68; 23.12; 20.62; -6.69; 51.98; 124.16; 1.50; 
21_11_2010; 02:48:15; 2.52; 994.00; 0.00; 1.13; 48.61; 91.57; 9.19; 9.44; 6.92; -0.01; 49.50; 124.60; 224.56; 
21_11_2010; 03:12:15; 2.58; 993.75; 0.00; 0.85; 64.74; 91.03; 8.06; 09.99; 8.26; 1.01; 47.66; 124.73; 1.58; 
21_11_2010; 03:36:15; 2.64; 993.62; 0.00; 1.42; 59.16; 90.58; 9.14; 14.44; 11.05; 0.14; 48.15; 124.84; 230.92; 
21_11_2010; 04:00:15; 2.77; 993.15; 0.00; 1.42; 38.51; 90.49; 7.02; 14.29; 11.04; 2.18; 42.14; 124.90; 226.63; 
21_11_2010; 04:24:15; 2.88; 993.01; 0.00; 1.42; 61.43; 90.49; 7.45; 7.45; 7.45; 1.87; 61.36; 124.90; 228.38; 
21_11_2010; 04:48:15; 2.97; 992.85; 0.00; 1.13; 54.87; 90.22; 6.08; 6.51; 6.15; 2.97; 54.87; 124.23; 1.50; 
21_11_2010; 05:12:15; 3.05; 992.78; 0.00; 1.13; 45.82; 89.69; 13.07; 13.19; 12.35; -2.15; 51.61; 125.04; 1.54; 
21_11_2010; 05:36:15; 3.16; 992.54; 0.00; 1.70; 78.69; 89.51; 8.48; 10.25; 9.46; 1.25; 53.27; 124.70; 219.21; 
21_11_2010; 06:00:15; 3.24; 992.42; 0.00; 2.27; 355.52; 89.51; 6.59; 10.02; 8.09; 3.08; 49.00; 123.80; 1.41; 
21_11_2010; 06:24:15; 3.33; 992.25; 0.00; 1.70; 49.59; 89.42; 11.63; 12.31; 10.60; -0.91; 41.86; 124.57; 216.78; 
21_11_2010; 06:48:15; 3.44; 992.25; 0.00; 1.99; 35.87; 89.60; 6.27; 13.37; 9.78; 3.44; 43.50; 124.75; 1.49; 
21_11_2010; 07:12:15; 3.63; 992.25; 0.00; 1.99; 27.81; 89.60; 5.76; 5.76; 5.10; 3.63; 26.59; 124.51; 1.45; 
21_11_2010; 07:36:15; 3.49; 992.14; 0.00; 0.00; 49.22; 90.14; 11.24; 11.24; 11.24; -0.46; 50.10; 124.82; 222.91; 
21_11_2010; 08:00:15; 3.52; 991.93; 323.47; 4.83; 45.45; 90.85; 13.88; 13.88; 13.88; -2.07; 53.58; 124.48; 221.00; 
21_11_2010; 08:24:15; 3.69; 991.82; 930.00; 9.10; 43.94; 89.69; 10.76; 11.50; 11.13; 0.08; 44.01; 124.61; 223.74; 
21_11_2010; 08:48:15; 3.88; 991.82; 0.00; 3.98; 51.33; 89.33; 12.73; 12.73; 11.48; -0.97; 54.98; 126.14; 223.65; 
21_11_2010; 09:12:15; 3.94; 991.82; 1221.84; 9.10; 153.17; 88.52; 12.52; 14.29; 13.36; -0.78; 97.85; 125.22; 226.48; 
21_11_2010; 09:36:15; 3.96; 991.82; 2389.18; 17.35; 48.99; 88.43; 20.37; 20.37; 13.18; -4.63; 48.99; 124.86; 223.68; 
21_11_2010; 10:00:15; 4.10; 991.82; 2632.37; 19.63; 85.09; 88.79; 7.59; 8.16; 7.59; 3.01; 70.15; 124.35; 224.94; 
21_11_2010; 10:24:15; 4.05; 991.82; 4043.00; 26.74; 45.52; 89.60; 14.96; 15.88; 10.73; -2.04; 59.41; 126.06; 1.49; 
21_11_2010; 10:48:15; 4.05; 991.82; 4480.75; 32.43; 82.16; 89.24; 8.55; 13.07; 09.97; 2.14; 73.92; 125.09; 1.62; 
21_11_2010; 11:12:15; 4.18; 991.82; 5988.62; 40.11; 45.45; 88.08; 10.32; 10.32; 10.32; 0.94; 59.61; 125.41; 218.14; 
21_11_2010; 11:36:15; 4.29; 991.82; 6523.62; 43.81; 26.23; 87.99; 6.73; 6.73; 6.12; 4.00; 26.30; 125.49; 225.51; 
21_11_2010; 12:00:15; 4.24; 991.65; 6669.50; 44.38; 36.02; 87.72; 18.12; 18.12; 16.51; -3.32; 59.90; 125.62; 228.87; 
21_11_2010; 12:24:15; 4.27; 991.57; 6523.62; 43.81; 46.12; 87.99; 8.00; 10.43; 8.52; 2.83; 32.03; 124.57; 226.78; 
21_11_2010; 12:48:15; 4.38; 991.45; 6766.87; 44.95; 48.91; 87.36; 16.52; 16.52; 14.78; -2.41; 47.75; 125.16; 226.72; 
21_11_2010; 13:12:15; 4.32; 991.37; 6523.62; 44.66; 55.77; 87.36; 8.10; 12.57; 10.13; 2.80; 70.15; 125.31; 222.48; 
21_11_2010; 13:36:15; 4.38; 991.23; 6475.00; 44.10; 72.96; 87.72; 7.14; 11.77; 9.60; 3.71; 52.95; 124.92; 226.14; 
21_11_2010; 14:00:15; 4.29; 991.09; 4723.87; 33.85; 44.77; 87.90; 8.83; 16.43; 12.68; 2.18; 42.39; 124.72; 222.14; 
21_11_2010; 14:24:15; 4.41; 990.85; 4626.62; 31.01; 68.44; 87.54; 6.66; 6.66; 6.66; 4.18; 68.71; 125.20; 223.95; 
21_11_2010; 14:48:15; 4.35; 990.73; 3945.68; 28.45; 37.83; 87.09; 10.88; 11.68; 10.88; 0.74; 37.83; 125.12; 230.83; 
21_11_2010; 15:12:15; 4.35; 990.71; 2243.25; 17.92; 57.51; 86.91; 9.25; 9.71; 9.48; 1.91; 65.27; 125.00; 1.31; 
21_11_2010; 15:36:15; 4.38; 990.50; 1173.18; 10.52; 8.29; 87.09; 4.90; 4.90; 4.50; 4.38; 26.49; 124.55; 220.53; 
21_11_2010; 16:00:15; 4.46; 990.32; 687.37; 6.54; 41.83; 86.83; 9.44; 9.62; 6.78; 1.89; 92.48; 126.75; 218.63; 
21_11_2010; 16:24:15; 4.32; 990.14; 363.90; 4.26; 22.61; 88.17; 6.58; 6.58; 5.40; 4.18; 28.10; 125.78; 219.01; 
21_11_2010; 16:48:15; 4.21; 990.14; 0.00; 1.99; 56.75; 89.51; 7.20; 7.23; 6.11; 3.48; 42.02; 125.45; 224.66; 
21_11_2010; 17:12:15; 4.21; 990.01; 0.00; 1.13; 30.97; 89.24; 09.99; 10.61; 8.85; 1.21; 25.66; 125.90; 226.63; 
21_11_2010; 17:36:15; 4.18; 990.00; 0.00; 1.70; 55.55; 89.06; 9.80; 9.83; 8.52; 1.32; 55.21; 125.37; 1.45; 
21_11_2010; 18:00:15; 4.16; 990.00; 0.00; 1.13; 61.95; 89.60; 6.78; 6.78; 6.78; 3.81; 60.03; 125.14; 216.84; 
21_11_2010; 18:24:15; 4.16; 990.00; 0.00; 2.56; 72.73; 89.51; 7.92; 8.46; 8.11; 2.78; 66.23; 124.81; 1.54; 
21_11_2010; 18:48:15; 4.18; 989.92; 0.00; 2.27; 54.79; 89.60; 5.89; 6.56; 6.25; 4.18; 44.98; 125.47; 227.13; 
21_11_2010; 19:12:15; 4.24; 989.82; 0.00; 2.27; 30.00; 89.42; 6.01; 6.42; 6.21; 4.24; 24.29; 124.82; 225.14; 
21_11_2010; 19:36:15; 4.35; 989.65; 0.00; 2.84; 323.84; 89.87; 2.31; 2.88; 2.52; 4.35; 323.09; 124.88; 226.33; 
21_11_2010; 20:00:15; 4.24; 989.65; 0.00; 1.42; 30.60; 91.21; 1.84; 1.84; 0.53; 4.24; 30.70; 125.07; 224.28; 
