bld=01 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
21_07_2012; 00:01:45; 535.700; 0.000; 25.70; 23.90;
21_07_2012; 00:49:45; 535.700; 0.000; 25.60; 23.90;
21_07_2012; 01:37:45; 535.700; 0.000; 25.60; 23.90;
21_07_2012; 02:25:45; 535.700; 0.000; 25.60; 23.80;
21_07_2012; 03:13:45; 535.700; 0.000; 25.40; 23.90;
21_07_2012; 04:01:45; 535.700; 0.000; 25.40; 23.70;
21_07_2012; 04:49:45; 535.700; 0.000; 25.40; 23.60;
21_07_2012; 05:37:45; 535.700; 0.000; 25.40; 23.60;
21_07_2012; 06:25:45; 535.700; 0.000; 25.30; 23.60;
21_07_2012; 07:13:45; 535.700; 0.000; 25.40; 23.70;
21_07_2012; 08:01:45; 535.700; 0.000; 25.30; 23.60;
21_07_2012; 08:49:45; 535.700; 0.000; 25.30; 23.70;
21_07_2012; 09:37:45; 535.700; 0.000; 25.30; 23.70;
21_07_2012; 10:25:45; 535.700; 0.000; 25.40; 23.80;
21_07_2012; 11:13:45; 535.700; 0.000; 25.30; 23.70;
21_07_2012; 12:01:45; 535.700; 0.000; 25.40; 23.80;
21_07_2012; 12:49:45; 535.700; 0.000; 25.50; 23.90;
21_07_2012; 13:38:45; 535.700; 0.000; 25.50; 24.00;
21_07_2012; 14:26:45; 535.700; 0.000; 25.50; 23.80;
21_07_2012; 15:14:45; 535.700; 0.000; 25.40; 23.80;
21_07_2012; 16:02:45; 535.700; 0.000; 25.40; 23.80;
21_07_2012; 16:50:45; 535.700; 0.000; 25.60; 23.90;
21_07_2012; 17:39:45; 535.700; 0.000; 25.50; 24.00;
21_07_2012; 18:27:45; 535.700; 0.000; 25.60; 24.00;
21_07_2012; 19:15:45; 535.700; 0.000; 25.60; 24.00;
21_07_2012; 20:03:45; 535.700; 0.000; 25.60; 23.90;
21_07_2012; 20:51:45; 535.700; 0.000; 25.60; 24.00;
21_07_2012; 21:39:45; 535.700; 0.000; 25.50; 23.90;
21_07_2012; 22:27:45; 535.700; 0.000; 25.60; 23.90;
21_07_2012; 23:15:45; 535.700; 0.000; 25.50; 23.90;
