bld=01 node=25 id=O1L_SLZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
24_07_2012; 00:01:45; 293.500; 1.300; 27.30; 22.40;
24_07_2012; 00:49:45; 293.500; 1.400; 27.30; 22.40;
24_07_2012; 01:37:45; 293.500; 1.400; 27.30; 22.40;
24_07_2012; 02:25:45; 293.500; 1.400; 27.30; 22.40;
24_07_2012; 03:13:45; 293.500; 1.500; 27.20; 22.40;
24_07_2012; 04:01:45; 293.500; 1.500; 27.20; 22.30;
24_07_2012; 04:49:45; 293.500; 1.200; 27.10; 22.40;
24_07_2012; 05:37:45; 293.500; 1.100; 26.80; 22.40;
24_07_2012; 06:25:45; 293.500; 1.100; 26.80; 22.30;
24_07_2012; 07:13:45; 293.500; 1.100; 26.70; 22.40;
24_07_2012; 08:01:45; 293.500; 1.200; 26.70; 22.30;
24_07_2012; 08:49:45; 293.500; 0.000; 26.60; 22.40;
24_07_2012; 09:40:45; 293.500; 1.400; 26.40; 22.40;
24_07_2012; 10:28:45; 293.500; 1.600; 26.50; 22.30;
24_07_2012; 11:18:45; 293.500; 1.000; 26.50; 22.40;
24_07_2012; 12:06:45; 293.500; 1.200; 26.70; 22.30;
24_07_2012; 12:54:45; 293.500; 1.300; 26.80; 22.40;
24_07_2012; 13:43:45; 293.500; 1.000; 26.90; 22.50;
24_07_2012; 14:31:45; 293.600; 1.100; 27.00; 22.50;
24_07_2012; 15:19:45; 293.600; 1.200; 27.00; 22.60;
24_07_2012; 16:07:45; 293.600; 1.100; 27.10; 22.60;
24_07_2012; 16:55:45; 293.600; 1.100; 27.10; 22.60;
24_07_2012; 17:44:45; 293.600; 0.300; 27.10; 22.70;
24_07_2012; 18:32:45; 293.600; 0.600; 27.20; 22.70;
24_07_2012; 19:20:45; 293.600; 1.100; 27.20; 22.80;
24_07_2012; 20:08:45; 293.600; 1.100; 27.10; 22.80;
24_07_2012; 20:56:45; 293.600; 1.500; 27.20; 22.90;
24_07_2012; 21:44:45; 293.600; 0.000; 27.10; 22.90;
24_07_2012; 22:32:45; 293.600; 1.700; 27.30; 22.80;
24_07_2012; 23:20:45; 293.600; 1.300; 27.80; 22.90;
