bld=01 node=25 id=O1L_SLZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
21_07_2012; 00:01:45; 293.000; 1.300; 27.30; 22.40;
21_07_2012; 00:49:45; 293.000; 1.400; 27.30; 22.40;
21_07_2012; 01:37:45; 293.000; 1.300; 27.30; 22.40;
21_07_2012; 02:25:45; 293.000; 0.000; 27.00; 22.60;
21_07_2012; 03:13:45; 293.000; 1.100; 26.80; 22.50;
21_07_2012; 04:01:45; 293.000; 1.100; 26.80; 22.50;
21_07_2012; 04:49:45; 293.000; 0.700; 26.80; 22.50;
21_07_2012; 05:37:45; 293.000; 0.900; 26.80; 22.50;
21_07_2012; 06:25:45; 293.000; 1.200; 26.80; 22.50;
21_07_2012; 07:13:45; 293.000; 1.100; 26.80; 22.40;
21_07_2012; 08:01:45; 293.100; 1.100; 26.60; 22.40;
21_07_2012; 08:49:45; 293.100; 1.200; 26.70; 22.40;
21_07_2012; 09:37:45; 293.100; 1.200; 26.70; 22.40;
21_07_2012; 10:25:45; 293.100; 1.100; 26.70; 22.50;
21_07_2012; 11:13:45; 293.100; 1.000; 26.80; 22.50;
21_07_2012; 12:01:45; 293.100; 1.000; 26.90; 22.50;
21_07_2012; 12:49:45; 293.100; 1.100; 26.90; 22.50;
21_07_2012; 13:38:45; 293.100; 1.000; 26.90; 22.60;
21_07_2012; 14:26:45; 293.100; 1.200; 26.80; 22.60;
21_07_2012; 15:14:45; 293.100; 1.100; 26.90; 22.60;
21_07_2012; 16:02:45; 293.100; 1.100; 26.90; 22.60;
21_07_2012; 16:50:45; 293.100; 1.300; 27.00; 22.50;
21_07_2012; 17:39:45; 293.100; 1.200; 27.00; 22.60;
21_07_2012; 18:27:45; 293.100; 1.200; 27.00; 22.60;
21_07_2012; 19:15:45; 293.100; 1.100; 27.00; 22.60;
21_07_2012; 20:03:45; 293.100; 1.100; 26.90; 22.70;
21_07_2012; 20:51:45; 293.100; 1.200; 27.00; 22.60;
21_07_2012; 21:39:45; 293.100; 1.300; 27.00; 22.50;
21_07_2012; 22:27:45; 293.100; 1.300; 27.00; 22.50;
21_07_2012; 23:15:45; 293.100; 1.100; 27.10; 22.40;
