bld=01 node=25 id=O1L_SLZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
26_07_2012; 00:00:45; 293.800; 1.100; 28.20; 23.70;
26_07_2012; 00:48:45; 293.800; 1.300; 28.20; 23.80;
26_07_2012; 01:36:45; 293.800; 1.300; 28.30; 23.80;
26_07_2012; 02:24:45; 293.800; 1.300; 28.20; 23.80;
26_07_2012; 03:12:45; 293.800; 1.400; 28.30; 23.80;
26_07_2012; 04:00:45; 293.800; 1.300; 28.20; 23.80;
26_07_2012; 04:48:45; 293.800; 1.300; 28.30; 23.80;
26_07_2012; 05:37:45; 293.800; 1.200; 28.20; 23.70;
26_07_2012; 06:25:45; 293.800; 1.100; 28.10; 23.80;
26_07_2012; 07:13:45; 293.800; 0.800; 27.70; 23.70;
26_07_2012; 08:01:45; 293.800; 1.200; 27.60; 23.70;
26_07_2012; 08:49:45; 293.800; 1.200; 27.80; 23.60;
26_07_2012; 09:38:45; 293.800; 1.100; 27.80; 23.70;
26_07_2012; 10:26:45; 293.800; 1.100; 27.90; 23.80;
26_07_2012; 11:14:45; 293.800; 1.000; 28.00; 23.90;
26_07_2012; 12:02:45; 293.800; 1.500; 28.00; 23.90;
26_07_2012; 12:50:45; 293.900; 0.300; 28.10; 24.00;
26_07_2012; 13:39:45; 293.900; 1.100; 28.20; 24.10;
26_07_2012; 14:27:45; 293.900; 0.000; 28.20; 24.10;
26_07_2012; 15:15:45; 293.900; 1.000; 28.20; 24.20;
26_07_2012; 16:03:45; 293.900; 1.000; 28.30; 24.30;
26_07_2012; 16:51:45; 293.900; 1.000; 28.40; 24.40;
26_07_2012; 17:39:45; 293.900; 1.000; 28.50; 24.50;
26_07_2012; 18:27:45; 293.900; 1.200; 28.60; 24.50;
26_07_2012; 19:15:45; 293.900; 1.200; 28.80; 24.60;
26_07_2012; 20:03:45; 293.900; 1.300; 28.90; 24.70;
26_07_2012; 20:51:45; 293.900; 1.100; 28.90; 24.70;
26_07_2012; 21:39:45; 293.900; 1.100; 29.00; 24.70;
26_07_2012; 22:27:45; 293.900; 1.100; 29.00; 24.80;
26_07_2012; 23:15:45; 293.900; 1.200; 29.00; 24.90;
