bld=01 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
26_07_2012; 00:00:45; 535.700; 0.000; 26.90; 25.40;
26_07_2012; 00:48:45; 535.700; 0.000; 27.00; 25.40;
26_07_2012; 01:36:45; 535.700; 0.000; 26.90; 25.50;
26_07_2012; 02:24:45; 535.700; 0.000; 26.90; 25.50;
26_07_2012; 03:12:45; 535.700; 0.000; 27.00; 25.40;
26_07_2012; 04:00:45; 535.700; 0.000; 26.90; 25.50;
26_07_2012; 04:48:45; 535.700; 0.000; 26.90; 25.40;
26_07_2012; 05:37:45; 535.700; 0.000; 26.80; 25.30;
26_07_2012; 06:25:45; 535.700; 0.000; 26.80; 25.30;
26_07_2012; 07:13:45; 535.700; 0.000; 26.60; 25.10;
26_07_2012; 08:01:45; 535.700; 0.000; 26.40; 25.10;
26_07_2012; 08:49:45; 535.700; 0.000; 26.60; 25.10;
26_07_2012; 09:38:45; 535.700; 0.000; 26.60; 25.20;
26_07_2012; 10:26:45; 535.700; 0.000; 26.70; 25.30;
26_07_2012; 11:14:45; 535.700; 0.000; 26.90; 25.30;
26_07_2012; 12:02:45; 535.700; 0.000; 26.90; 25.40;
26_07_2012; 12:50:45; 535.700; 0.000; 27.00; 25.60;
26_07_2012; 13:39:45; 535.700; 0.000; 27.10; 25.60;
26_07_2012; 14:27:45; 535.700; 0.000; 27.10; 25.70;
26_07_2012; 15:15:45; 535.700; 0.000; 27.20; 25.80;
26_07_2012; 16:03:45; 535.700; 0.000; 27.30; 25.80;
26_07_2012; 16:51:45; 535.700; 0.000; 27.30; 25.90;
26_07_2012; 17:39:45; 535.700; 0.000; 27.50; 26.00;
26_07_2012; 18:27:45; 535.700; 0.000; 27.50; 26.10;
26_07_2012; 19:15:45; 535.700; 0.000; 27.60; 26.10;
26_07_2012; 20:03:45; 535.700; 0.000; 27.80; 26.20;
26_07_2012; 20:51:45; 535.700; 0.000; 27.70; 26.40;
26_07_2012; 21:39:45; 535.700; 0.000; 27.90; 26.40;
26_07_2012; 22:27:45; 535.700; 0.000; 27.80; 26.40;
26_07_2012; 23:15:45; 535.700; 0.000; 27.90; 26.40;
