bld=02 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
22_07_2012; 00:00:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 00:48:45; 81.100; 0.000; 23.70; 23.90;
22_07_2012; 01:36:45; 81.100; 0.000; 23.70; 23.90;
22_07_2012; 02:24:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 03:12:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 04:00:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 04:48:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 05:38:45; 81.100; 0.000; 23.60; 23.70;
22_07_2012; 06:26:45; 81.100; 0.000; 23.60; 23.70;
22_07_2012; 07:14:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 08:02:45; 81.100; 0.000; 23.60; 23.80;
22_07_2012; 08:50:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 09:38:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 10:26:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 11:14:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 12:02:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 12:50:45; 81.100; 0.000; 23.90; 23.90;
22_07_2012; 13:38:45; 81.100; 0.000; 23.80; 23.80;
22_07_2012; 14:26:45; 81.100; 0.000; 23.80; 23.80;
22_07_2012; 15:14:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 16:02:45; 81.100; 0.000; 23.70; 23.70;
22_07_2012; 16:50:45; 81.100; 0.000; 23.80; 23.80;
22_07_2012; 17:38:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 18:32:45; 81.100; 0.000; 23.80; 23.80;
22_07_2012; 19:20:45; 81.100; 0.000; 23.70; 23.80;
22_07_2012; 20:08:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 20:56:45; 81.100; 0.000; 23.80; 23.80;
22_07_2012; 21:44:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 22:32:45; 81.100; 0.000; 23.80; 23.90;
22_07_2012; 23:20:45; 81.100; 0.000; 23.80; 23.80;
