bld=02 node=22 id=O1L_KUE
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
22_07_2012; 00:00:45; 188.500; 0.000; 23.90; 23.90;
22_07_2012; 00:48:45; 188.500; 0.000; 23.90; 23.80;
22_07_2012; 01:36:45; 188.500; 0.000; 23.80; 23.80;
22_07_2012; 02:24:45; 188.500; 0.000; 23.80; 23.80;
22_07_2012; 03:12:45; 188.500; 0.000; 23.80; 23.70;
22_07_2012; 04:00:45; 188.500; 0.000; 23.70; 23.70;
22_07_2012; 04:48:45; 188.500; 0.000; 23.70; 23.60;
22_07_2012; 05:36:45; 188.500; 0.000; 23.70; 23.60;
22_07_2012; 06:24:45; 188.500; 0.000; 23.70; 23.60;
22_07_2012; 07:12:45; 188.500; 0.000; 23.70; 23.60;
22_07_2012; 08:00:45; 188.500; 0.000; 23.60; 23.70;
22_07_2012; 08:48:45; 188.500; 0.000; 23.80; 23.70;
22_07_2012; 09:36:45; 188.500; 0.000; 23.80; 23.70;
22_07_2012; 10:24:45; 188.500; 0.000; 23.70; 23.80;
22_07_2012; 11:12:45; 188.500; 0.000; 23.80; 23.80;
22_07_2012; 12:00:45; 188.500; 0.000; 23.80; 23.90;
22_07_2012; 12:48:45; 188.500; 0.000; 23.80; 23.90;
22_07_2012; 13:36:45; 188.500; 0.000; 23.80; 23.90;
22_07_2012; 14:24:45; 188.500; 0.000; 23.80; 23.90;
22_07_2012; 15:12:45; 188.500; 0.000; 23.70; 23.80;
22_07_2012; 16:00:45; 188.500; 0.000; 23.80; 23.80;
22_07_2012; 16:48:45; 188.500; 0.000; 23.80; 23.80;
22_07_2012; 17:36:45; 188.500; 0.000; 23.80; 23.90;
22_07_2012; 18:30:45; 188.500; 0.000; 23.80; 23.90;
22_07_2012; 19:18:45; 188.500; 0.000; 23.90; 23.80;
22_07_2012; 20:06:45; 188.500; 0.000; 23.80; 23.90;
22_07_2012; 20:54:45; 188.500; 0.000; 23.90; 23.80;
22_07_2012; 21:42:45; 188.500; 0.000; 23.90; 23.80;
22_07_2012; 22:30:45; 188.500; 0.000; 23.80; 23.80;
22_07_2012; 23:18:45; 188.500; 0.000; 23.90; 23.80;
