bld=01 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
22_07_2012; 00:01:45; 535.700; 0.000; 25.50; 23.90;
22_07_2012; 00:49:45; 535.700; 0.000; 25.50; 23.80;
22_07_2012; 01:37:45; 535.700; 0.000; 25.40; 23.80;
22_07_2012; 02:25:45; 535.700; 0.000; 25.30; 23.70;
22_07_2012; 03:13:45; 535.700; 0.000; 25.30; 23.70;
22_07_2012; 04:01:45; 535.700; 0.000; 25.10; 23.60;
22_07_2012; 04:49:45; 535.700; 0.000; 25.20; 23.50;
22_07_2012; 05:37:45; 535.700; 0.000; 25.10; 23.40;
22_07_2012; 06:25:45; 535.700; 0.000; 25.10; 23.30;
22_07_2012; 07:13:45; 535.700; 0.000; 24.90; 23.30;
22_07_2012; 08:01:45; 535.700; 0.000; 24.90; 23.20;
22_07_2012; 08:49:45; 535.700; 0.000; 24.90; 23.30;
22_07_2012; 09:38:45; 535.700; 0.000; 24.90; 23.30;
22_07_2012; 10:26:45; 535.700; 0.000; 25.00; 23.30;
22_07_2012; 11:14:45; 535.700; 0.000; 24.90; 23.40;
22_07_2012; 12:02:45; 535.700; 0.000; 24.90; 23.30;
22_07_2012; 12:50:45; 535.700; 0.000; 25.00; 23.40;
22_07_2012; 13:39:45; 535.700; 0.000; 25.20; 23.40;
22_07_2012; 14:27:45; 535.700; 0.000; 25.20; 23.50;
22_07_2012; 15:15:45; 535.700; 0.000; 25.20; 23.50;
22_07_2012; 16:03:45; 535.700; 0.000; 25.30; 23.60;
22_07_2012; 16:51:45; 535.700; 0.000; 25.40; 23.60;
22_07_2012; 17:40:45; 535.700; 0.000; 25.40; 23.70;
22_07_2012; 18:28:45; 535.700; 0.000; 25.40; 23.60;
22_07_2012; 19:16:45; 535.700; 0.000; 25.30; 23.70;
22_07_2012; 20:04:45; 535.700; 0.000; 25.40; 23.70;
22_07_2012; 20:52:45; 535.700; 0.000; 25.40; 23.70;
22_07_2012; 21:40:45; 535.700; 0.000; 25.30; 23.70;
22_07_2012; 22:28:45; 535.700; 0.000; 25.30; 23.70;
22_07_2012; 23:16:45; 535.700; 0.000; 25.40; 23.70;
