weather_HB37; 19_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
19_11_2010; 00:00:15; 6.06; 992.54; 0.00; 1.13; 266.70; 94.88; 0.00; 0.00; 0.00; 6.06; -099997.00; 127.63; 223.36; 
19_11_2010; 00:24:15; 6.15; 992.54; 0.00; 2.27; 210.03; 94.70; 2.08; 2.24; 2.09; 6.15; 209.77; 127.98; 220.76; 
19_11_2010; 00:48:15; 6.09; 992.54; 0.00; 1.13; 233.47; 94.79; 0.00; 0.00; 0.00; 6.09; -099997.00; 127.96; 221.94; 
19_11_2010; 01:12:15; 6.06; 992.54; 0.00; 1.13; 235.31; 95.32; 1.68; 1.99; 1.84; 6.06; 235.29; 127.53; 219.97; 
19_11_2010; 01:36:15; 5.90; 992.54; 0.00; 1.42; 245.48; 96.93; 0.00; 0.00; 0.00; 5.90; -099997.00; 128.00; 222.98; 
19_11_2010; 02:00:15; 6.01; 992.54; 0.00; 0.28; 232.11; 95.59; 0.00; 0.00; 0.00; 6.01; -099997.00; 127.65; 221.69; 
19_11_2010; 02:24:15; 6.12; 992.54; 0.00; 1.70; 232.60; 94.97; 0.00; 0.00; 0.00; 6.12; -099997.00; 127.84; 224.46; 
19_11_2010; 02:48:15; 5.68; 992.54; 0.00; 0.28; 276.93; 97.74; 0.00; 0.00; 0.00; 5.68; -099997.00; 126.37; 222.43; 
19_11_2010; 03:12:15; 5.57; 992.54; 0.00; 1.13; 247.42; 98.54; 0.00; 0.00; 0.00; 5.57; -099997.00; 126.77; 223.55; 
19_11_2010; 03:36:15; 5.29; 992.54; 0.00; 1.70; 231.92; 99.35; 1.56; 1.56; 1.51; 5.29; 231.10; 126.06; 226.60; 
19_11_2010; 04:00:15; 5.07; 992.54; 0.00; 0.85; 203.44; 099.80; 1.61; 1.68; 0.99; 5.07; 203.14; 125.18; 219.24; 
19_11_2010; 04:24:15; 4.71; 992.54; 0.00; 1.13; 216.13; 099.80; 0.00; 0.00; 0.00; 4.71; -099997.00; 125.14; 1.43; 
19_11_2010; 04:48:15; 4.68; 992.54; 0.00; 0.28; 216.51; 099.80; 0.00; 0.00; 0.00; 4.68; -099997.00; 125.94; 225.05; 
19_11_2010; 05:12:15; 4.85; 992.54; 0.00; 0.85; 227.27; 98.01; 0.00; 0.00; 0.00; 4.85; -099997.00; 124.80; 222.85; 
19_11_2010; 05:36:15; 4.71; 992.54; 0.00; 1.70; 204.41; 99.44; 2.86; 2.86; 2.84; 4.71; 204.66; 124.81; 222.43; 
19_11_2010; 06:00:15; 4.57; 992.54; 0.00; 1.42; 261.17; 99.08; 0.00; 0.00; 0.00; 4.57; -099997.00; 125.18; 225.96; 
19_11_2010; 06:24:15; 4.71; 992.54; 0.00; 0.56; 273.99; 099.80; 0.00; 0.00; 0.00; 4.71; -099997.00; 125.31; 224.60; 
19_11_2010; 06:48:15; 4.74; 992.54; 0.00; 1.13; 225.33; 98.54; 2.09; 2.09; 0.48; 4.74; 225.93; 124.47; 1.43; 
19_11_2010; 07:12:15; 4.68; 992.54; 0.00; 0.28; 225.14; 98.36; 2.21; 2.21; 1.86; 4.68; 230.71; 125.73; 223.22; 
19_11_2010; 07:36:15; 4.82; 992.54; 161.73; 1.42; 242.00; 96.93; 0.00; 0.00; 0.00; 4.82; -099997.00; 125.43; 224.73; 
19_11_2010; 08:00:15; 4.79; 992.54; 930.00; 6.82; 288.54; 98.63; 0.00; 0.00; 0.00; 4.79; -099997.00; 125.51; 223.43; 
19_11_2010; 08:24:15; 5.04; 992.71; 2486.50; 14.51; 322.79; 96.58; 0.00; 0.00; 0.00; 5.04; -099997.00; 125.52; 222.47; 
19_11_2010; 08:48:15; 5.48; 992.93; 4529.37; 25.32; 242.28; 94.34; 0.00; 0.00; 0.00; 5.48; -099997.00; 126.91; 222.34; 
19_11_2010; 09:12:15; 5.59; 993.14; 9831.00; 65.43; 277.13; 96.22; 0.00; 0.00; 0.00; 5.59; -099997.00; 126.98; 221.69; 
19_11_2010; 09:36:15; 6.23; 993.26; 10609.25; 67.71; 271.51; 92.73; 0.00; 0.00; 0.00; 6.23; -099997.00; 128.25; 222.32; 
19_11_2010; 10:00:15; 6.78; 993.43; 9101.50; 64.87; 270.85; 91.83; 0.00; 0.00; 0.00; 6.78; -099997.00; 130.01; 223.35; 
19_11_2010; 10:24:15; 6.87; 993.62; 18489.00; 119.21; 322.98; 91.83; 0.00; 0.00; 0.00; 6.87; -099997.00; 130.24; 222.60; 
19_11_2010; 10:48:15; 7.61; 993.62; 19608.00; 129.45; 260.98; 86.38; 0.00; 0.00; 0.00; 7.61; -099997.00; 132.56; 221.92; 
19_11_2010; 11:12:15; 7.86; 993.62; 11339.00; 75.39; 257.21; 86.47; 0.00; 1.63; 0.25; 7.86; 257.30; 133.20; 221.94; 
19_11_2010; 11:36:15; 8.11; 993.62; 11533.50; 83.08; 242.87; 86.29; 4.63; 4.63; 4.63; 8.11; 237.53; 133.86; 223.02; 
19_11_2010; 12:00:15; 7.86; 993.62; 21547.50; 150.22; 233.08; 86.91; 5.64; 5.65; 5.65; 7.86; 233.47; 132.32; 224.21; 
19_11_2010; 12:24:15; 7.89; 993.62; 22942.00; 154.49; 239.48; 88.88; 3.35; 4.96; 3.87; 7.89; 237.71; 132.20; 223.88; 
19_11_2010; 12:48:15; 8.53; 993.62; 21336.50; 148.80; 266.41; 85.93; 6.26; 7.42; 6.86; 8.53; 249.30; 135.88; 218.35; 
19_11_2010; 13:12:15; 8.61; 993.62; 15911.25; 113.80; 261.75; 83.25; 7.08; 10.46; 8.82; 8.08; 261.73; 134.78; 218.48; 
19_11_2010; 13:36:15; 9.22; 993.62; 28942.00; 201.44; 226.69; 81.91; 4.72; 7.23; 6.09; 9.22; 173.12; 136.25; 225.92; 
19_11_2010; 14:00:15; 9.22; 993.62; 15716.75; 97.87; 265.05; 80.12; 7.96; 9.33; 5.85; 8.06; 264.19; 136.21; 227.96; 
19_11_2010; 14:24:15; 8.89; 993.62; 17516.00; 124.90; 243.45; 80.65; 4.37; 11.63; 7.57; 8.89; 239.12; 135.53; 220.44; 
19_11_2010; 14:48:15; 8.97; 993.62; 15862.50; 114.09; 259.43; 80.56; 6.70; 7.25; 6.42; 8.75; 236.26; 135.53; 223.30; 
19_11_2010; 15:12:15; 8.78; 993.62; 6231.75; 42.67; 287.78; 81.01; 5.44; 5.44; 5.44; 8.78; 287.78; 134.89; 223.65; 
19_11_2010; 15:36:15; 8.39; 993.62; 5404.87; 37.27; 291.59; 83.43; 3.44; 3.59; 3.45; 8.39; 291.68; 133.72; 223.59; 
19_11_2010; 16:00:15; 8.17; 993.62; 2437.81; 20.77; 282.36; 85.04; 3.04; 3.16; 3.08; 8.17; 282.21; 133.30; 219.61; 
19_11_2010; 16:24:15; 8.50; 993.62; 1756.87; 29.02; 254.59; 84.68; 0.00; 0.00; 0.00; 8.50; -099997.00; 133.92; 222.02; 
19_11_2010; 16:48:15; 8.44; 993.62; 161.73; 0.85; 239.57; 85.57; 0.00; 0.00; 0.00; 8.44; -099997.00; 133.18; 222.94; 
19_11_2010; 17:12:15; 8.22; 993.62; 0.00; 0.00; 243.74; 86.65; 0.00; 1.77; 1.13; 8.22; 244.09; 132.37; 221.37; 
19_11_2010; 17:36:15; 7.95; 993.62; 0.00; 0.00; 239.19; 89.24; 0.00; 0.00; 0.00; 7.95; -099997.00; 131.76; 224.16; 
19_11_2010; 18:00:15; 7.86; 993.62; 0.00; 0.00; 212.64; 89.87; 1.55; 1.80; 1.60; 7.86; 212.25; 131.66; 228.28; 
19_11_2010; 18:24:15; 7.23; 993.62; 0.00; 0.28; 336.30; 92.82; 3.07; 3.07; 3.07; 7.23; 336.04; 130.82; 227.37; 
19_11_2010; 18:48:15; 6.92; 993.73; 0.00; 0.00; 133.02; 94.52; 4.45; 5.00; 4.54; 6.92; 133.64; 130.12; 226.78; 
19_11_2010; 19:12:15; 6.87; 993.92; 0.00; 0.00; 132.67; 93.98; 2.72; 2.72; 2.50; 6.87; 132.41; 129.15; 224.55; 
19_11_2010; 19:36:15; 6.59; 994.07; 0.00; 0.00; 156.86; 95.14; 0.00; 0.00; 0.00; 6.59; -099997.00; 129.10; 223.78; 
19_11_2010; 20:00:15; 6.89; 994.21; 0.00; 0.00; 156.86; 92.64; 0.00; 0.00; 0.00; 6.89; -099997.00; 129.37; 223.36; 
19_11_2010; 20:24:15; 6.95; 994.45; 0.00; 2.56; 225.62; 95.14; 1.77; 2.92; 2.22; 6.95; 225.55; 129.62; 222.68; 
19_11_2010; 20:48:15; 6.42; 994.45; 0.00; 2.27; 204.12; 98.90; 0.00; 0.00; 0.00; 6.42; -099997.00; 127.86; 223.69; 
19_11_2010; 21:12:15; 6.37; 994.45; 0.00; 1.99; 207.31; 099.80; 0.00; 0.00; 0.00; 6.37; -099997.00; 127.63; 225.77; 
19_11_2010; 21:36:15; 6.15; 994.45; 0.00; 2.27; 219.03; 099.80; 0.00; 0.00; 0.00; 6.15; -099997.00; 127.41; 223.12; 
19_11_2010; 22:00:15; 5.79; 994.51; 0.00; 2.27; 219.13; 099.80; 2.61; 2.61; 2.61; 5.79; 219.20; 127.17; 222.62; 
19_11_2010; 22:24:15; 5.65; 994.51; 0.00; 1.99; 219.52; 099.80; 0.00; 0.00; 0.00; 5.65; -099997.00; 126.34; 222.73; 
19_11_2010; 22:48:15; 5.32; 994.51; 0.00; 2.27; 183.19; 099.80; 3.15; 3.24; 3.16; 5.32; 183.09; 125.18; 220.56; 
19_11_2010; 23:12:15; 5.01; 994.51; 0.00; 1.99; 189.97; 099.80; 2.38; 2.50; 2.45; 5.01; 190.08; 124.55; 216.76; 
19_11_2010; 23:36:15; 4.63; 994.51; 0.00; 1.70; 198.79; 099.80; 1.34; 1.47; 1.38; 4.63; 198.10; 124.60; 1.39; 
