weather_HB37; 15_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
15_11_2010; 05:12:15; 9.96; 987.60; 0.00; 0.00; 237.64; 95.68; 6.60; 6.60; 5.27; 9.83; 247.02; 136.89; 225.01; 
15_11_2010; 05:36:15; 09.99; 987.73; 0.00; 0.00; 265.14; 95.05; 5.14; 5.14; 5.14; 09.99; 265.07; 136.91; 220.76; 
15_11_2010; 06:00:15; 10.05; 987.98; 0.00; 0.00; 254.98; 92.01; 3.32; 4.01; 3.53; 10.05; 254.75; 137.39; 219.33; 
15_11_2010; 06:24:15; 9.77; 987.98; 0.00; 0.00; 277.89; 92.01; 7.42; 9.65; 7.90; 9.02; 278.26; 136.97; 220.48; 
15_11_2010; 06:48:15; 9.16; 988.17; 0.00; 0.00; 276.36; 96.75; 2.60; 2.84; 2.74; 9.16; 276.07; 135.00; 220.96; 
15_11_2010; 07:12:15; 9.11; 988.28; 0.00; 0.00; 288.35; 94.70; 0.00; 1.31; 0.43; 9.11; 288.55; 134.60; 222.37; 
15_11_2010; 07:36:15; 8.78; 988.53; 80.86; 0.00; 290.45; 97.74; 3.08; 3.48; 3.09; 8.78; 290.60; 134.26; 218.50; 
15_11_2010; 08:00:15; 8.33; 988.73; 525.64; 3.41; 290.82; 99.44; 5.40; 7.63; 6.51; 8.33; 292.89; 133.07; 226.89; 
15_11_2010; 08:24:15; 8.36; 988.81; 1075.90; 8.53; 283.03; 099.80; 3.27; 3.72; 2.53; 8.36; 291.32; 133.19; 221.63; 
15_11_2010; 08:48:15; 8.58; 989.07; 1367.75; 9.38; 293.30; 98.81; 0.00; 0.00; 0.00; 8.58; -099997.00; 133.95; 223.77; 
15_11_2010; 09:12:15; 8.33; 989.46; 2486.50; 15.93; 269.32; 099.80; 2.69; 2.77; 2.73; 8.33; 269.05; 133.02; 221.31; 
15_11_2010; 09:36:15; 8.08; 989.46; 8177.37; 52.92; 11.75; 099.80; 7.03; 7.03; 6.38; 7.58; 4.87; 132.70; 225.52; 
15_11_2010; 10:00:15; 8.33; 989.46; 9101.50; 56.33; 313.95; 099.80; 2.37; 2.70; 2.57; 8.33; 325.45; 133.11; 227.14; 
15_11_2010; 10:24:15; 8.17; 989.46; 6766.87; 43.81; 34.82; 98.36; 7.44; 8.10; 7.54; 7.35; 27.73; 132.61; 229.44; 
15_11_2010; 10:48:15; 8.22; 989.46; 7642.37; 45.52; 354.19; 099.79; 2.65; 3.20; 2.76; 8.22; 354.39; 133.02; 220.50; 
15_11_2010; 11:12:15; 8.25; 989.46; 4480.75; 28.73; 325.27; 099.80; 4.25; 5.57; 3.91; 8.25; 330.89; 133.00; 220.33; 
15_11_2010; 11:36:15; 8.03; 989.46; 6572.25; 41.25; 323.55; 099.80; 4.66; 6.59; 5.77; 8.03; 309.36; 131.99; 219.84; 
15_11_2010; 12:00:15; 7.78; 989.71; 6766.87; 30.15; 312.80; 099.80; 4.01; 9.06; 6.73; 7.78; 314.51; 131.67; 226.12; 
15_11_2010; 12:24:15; 7.64; 989.71; 5745.37; 36.98; 356.00; 099.80; 3.63; 3.63; 3.63; 7.64; 319.58; 131.32; 221.61; 
15_11_2010; 12:48:15; 7.42; 989.71; 5356.25; 30.15; 285.31; 099.80; 10.15; 10.15; 9.35; 4.65; 284.92; 130.71; 224.18; 
15_11_2010; 13:12:15; 7.53; 989.71; 8809.75; 48.93; 302.14; 099.80; 4.58; 4.84; 4.55; 7.53; 302.18; 130.86; 226.01; 
15_11_2010; 13:36:15; 7.59; 989.71; 5648.12; 31.01; 306.81; 099.80; 5.21; 5.21; 3.52; 7.59; 306.67; 130.80; 222.81; 
15_11_2010; 14:00:15; 7.59; 989.71; 4578.00; 24.18; 305.48; 099.80; 7.81; 7.81; 6.19; 6.46; 297.91; 130.72; 223.94; 
15_11_2010; 14:24:15; 7.64; 989.71; 5696.75; 27.88; 293.49; 099.80; 3.00; 3.00; 2.18; 7.64; 289.05; 130.96; 226.78; 
15_11_2010; 14:48:15; 7.42; 989.71; 5161.62; 29.59; 301.48; 099.80; 7.88; 10.19; 6.58; 6.23; 310.72; 130.86; 226.46; 
15_11_2010; 15:12:15; 7.53; 989.71; 1902.81; 11.38; 322.41; 099.80; 3.60; 5.66; 4.71; 7.53; 334.60; 130.76; 226.17; 
15_11_2010; 15:36:15; 7.23; 989.71; 1659.59; 10.52; 290.45; 099.80; 7.81; 7.81; 7.81; 6.08; 285.50; 129.89; 216.48; 
15_11_2010; 16:00:15; 7.01; 989.71; 1367.75; 9.67; 276.56; 099.80; 6.29; 6.64; 6.47; 7.01; 279.89; 129.69; 231.04; 
15_11_2010; 16:24:15; 6.98; 989.79; 444.77; 4.55; 287.40; 099.80; 2.69; 3.21; 2.92; 6.98; 288.10; 129.31; 225.59; 
15_11_2010; 16:48:15; 6.84; 990.25; 0.00; 1.13; 287.40; 099.80; 3.05; 3.05; 2.72; 6.84; 287.30; 129.25; 216.81; 
15_11_2010; 17:12:15; 6.84; 990.70; 0.00; 0.85; 289.59; 099.80; 2.01; 2.21; 2.11; 6.84; 289.40; 129.16; 220.37; 
15_11_2010; 17:36:15; 6.78; 990.73; 0.00; 0.85; 297.67; 099.80; 4.94; 5.79; 5.10; 6.78; 297.83; 129.61; 228.39; 
15_11_2010; 18:00:15; 6.65; 990.96; 0.00; 0.85; 297.87; 099.80; 3.88; 6.43; 5.21; 6.65; 297.95; 129.08; 218.78; 
15_11_2010; 18:24:15; 6.54; 991.17; 0.00; 1.42; 297.67; 099.80; 6.50; 8.69; 7.39; 6.47; 296.62; 128.64; 224.17; 
15_11_2010; 18:48:15; 6.70; 991.21; 0.00; 1.13; 323.46; 099.80; 3.42; 3.42; 3.42; 6.70; 324.53; 129.06; 222.43; 
15_11_2010; 19:12:15; 6.78; 991.48; 0.00; 1.13; 305.57; 099.80; 3.00; 3.00; 2.94; 6.78; 305.67; 129.57; 229.08; 
15_11_2010; 19:36:15; 6.51; 991.73; 0.00; 1.70; 315.37; 099.80; 7.15; 7.15; 6.91; 5.87; 315.50; 128.78; 221.72; 
15_11_2010; 20:00:15; 6.40; 991.81; 0.00; 1.70; 350.38; 099.80; 4.26; 4.26; 4.07; 6.40; 340.61; 128.23; 217.30; 
15_11_2010; 20:24:15; 6.23; 992.06; 0.00; 0.85; 294.92; 099.80; 0.00; 1.61; 0.94; 6.23; 287.63; 128.02; 220.32; 
15_11_2010; 20:48:15; 6.15; 992.45; 0.00; 1.70; 299.96; 099.80; 2.10; 2.63; 2.23; 6.15; 298.80; 127.56; 225.92; 
15_11_2010; 21:12:15; 6.12; 992.53; 0.00; 1.99; 292.92; 099.80; 2.52; 2.92; 2.64; 6.12; 291.78; 127.94; 220.37; 
15_11_2010; 21:36:15; 5.79; 992.78; 0.00; 2.56; 301.77; 099.80; 6.33; 10.29; 7.59; 5.79; 310.79; 127.37; 218.19; 
15_11_2010; 22:00:15; 5.65; 993.07; 0.00; 1.99; 279.79; 099.80; 2.05; 2.05; 2.05; 5.65; 279.77; 126.12; 219.34; 
15_11_2010; 22:24:15; 5.51; 993.37; 0.00; 3.69; 305.57; 099.80; 7.29; 8.88; 7.57; 4.73; 315.14; 125.98; 230.36; 
15_11_2010; 22:48:15; 5.54; 993.40; 0.00; 2.84; 293.49; 099.80; 4.57; 5.32; 4.82; 5.54; 293.17; 126.23; 229.35; 
15_11_2010; 23:12:15; 5.68; 993.40; 0.00; 2.56; 317.18; 099.80; 0.00; 1.49; 0.89; 5.68; 316.98; 126.17; 223.43; 
15_11_2010; 23:36:15; 5.76; 993.40; 0.00; 3.12; 316.89; 099.80; 3.60; 4.24; 3.59; 5.76; 316.92; 126.68; 219.55; 
