weather_HB37; 15_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
15_11_2010; 00:00:15; 12.26; 985.56; 0.00; 0.00; 246.74; 97.65; 2.40; 3.41; 2.73; 12.26; 246.71; 141.88; 223.29; 
15_11_2010; 00:24:15; 12.05; 985.92; 0.00; 0.00; 243.74; 97.92; 6.41; 6.41; 3.89; 12.05; 252.17; 141.28; 222.93; 
15_11_2010; 00:48:15; 11.75; 986.15; 0.00; 0.00; 251.97; 98.18; 4.51; 5.02; 4.58; 11.75; 251.12; 140.58; 223.34; 
15_11_2010; 01:12:15; 11.46; 986.32; 0.00; 0.00; 247.61; 99.17; 3.55; 4.50; 3.79; 11.46; 235.10; 139.55; 229.16; 
15_11_2010; 01:36:15; 11.33; 986.65; 0.00; 0.00; 255.75; 99.08; 3.89; 3.97; 3.64; 11.33; 255.94; 139.76; 219.01; 
15_11_2010; 02:00:15; 11.23; 986.92; 0.00; 0.00; 256.14; 099.80; 2.59; 2.59; 2.59; 11.23; 258.97; 138.83; 226.54; 
15_11_2010; 02:24:15; 11.05; 987.01; 0.00; 0.00; 235.21; 96.75; 5.43; 6.29; 5.67; 11.05; 235.31; 138.75; 230.10; 
15_11_2010; 02:48:15; 10.82; 987.01; 0.00; 0.00; 248.97; 94.97; 4.72; 4.72; 3.63; 10.82; 248.39; 137.86; 230.24; 
15_11_2010; 03:12:15; 10.55; 987.20; 0.00; 0.00; 240.74; 95.23; 9.44; 9.59; 8.59; 8.52; 232.57; 138.03; 229.52; 
15_11_2010; 03:36:15; 10.46; 987.46; 0.00; 0.00; 253.42; 96.93; 4.75; 6.41; 5.40; 10.46; 254.78; 137.75; 221.27; 
15_11_2010; 04:00:15; 10.32; 987.60; 0.00; 0.00; 263.99; 94.97; 0.00; 1.70; 1.23; 10.32; 262.52; 137.24; 221.47; 
15_11_2010; 04:24:15; 10.24; 987.60; 0.00; 0.00; 250.33; 91.66; 4.84; 5.18; 4.68; 10.24; 246.91; 136.98; 220.60; 
15_11_2010; 04:48:15; 10.19; 987.60; 0.00; 0.00; 253.14; 94.79; 0.00; 2.08; 0.93; 10.19; 249.58; 137.01; 221.96; 
