weather_HB37; 17_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
17_11_2010; 00:00:15; 4.68; 996.50; 0.00; 1.70; 23.29; 93.35; 4.73; 4.73; 3.51; 4.68; 23.20; 125.57; 229.60; 
17_11_2010; 00:24:15; 4.65; 996.50; 0.00; 2.27; 27.36; 93.44; 5.22; 5.48; 4.80; 4.65; 24.01; 125.69; 216.41; 
17_11_2010; 00:48:15; 4.43; 996.50; 0.00; 1.70; 42.96; 93.44; 5.91; 6.27; 5.50; 4.43; 51.08; 125.28; 215.89; 
17_11_2010; 01:12:15; 4.38; 996.50; 0.00; 1.42; 316.03; 93.89; 4.69; 4.69; 3.32; 4.38; 2.52; 125.10; 220.56; 
17_11_2010; 01:36:15; 4.41; 996.50; 0.00; 2.27; 59.09; 92.91; 5.09; 5.09; 5.09; 4.41; 59.26; 124.78; 219.50; 
17_11_2010; 02:00:15; 4.52; 996.50; 0.00; 1.42; 351.62; 93.71; 2.79; 2.79; 2.77; 4.52; 351.53; 125.55; 1.41; 
17_11_2010; 02:24:15; 4.57; 996.50; 0.00; 0.85; 22.23; 92.10; 0.00; 1.49; 0.37; 4.57; 22.07; 125.25; 221.92; 
17_11_2010; 02:48:15; 4.65; 996.50; 0.00; 1.70; 42.51; 92.19; 5.52; 6.29; 5.88; 4.65; 42.56; 125.00; 224.55; 
17_11_2010; 03:12:15; 4.43; 996.50; 0.00; 2.27; 6.93; 94.43; 5.65; 6.50; 5.89; 4.43; 5.57; 125.90; 221.67; 
17_11_2010; 03:36:15; 4.32; 996.50; 0.00; 2.27; 1.20; 95.32; 6.18; 7.72; 5.75; 4.32; 356.00; 124.69; 227.98; 
17_11_2010; 04:00:15; 4.35; 996.50; 0.00; 1.42; 22.68; 94.79; 3.00; 3.80; 3.05; 4.35; 22.74; 124.76; 228.21; 
17_11_2010; 04:24:15; 4.24; 996.50; 0.00; 1.70; 39.12; 93.80; 5.21; 9.59; 6.23; 4.24; 31.07; 125.00; 221.25; 
17_11_2010; 04:48:15; 4.29; 996.50; 0.00; 2.27; 20.95; 92.91; 4.51; 5.25; 4.58; 4.29; 16.57; 124.78; 218.39; 
17_11_2010; 05:12:15; 4.27; 996.50; 0.00; 1.99; 33.24; 92.10; 2.81; 2.81; 2.81; 4.27; 33.24; 124.55; 1.43; 
17_11_2010; 05:36:15; 4.18; 996.50; 0.00; 1.99; 98.76; 89.51; 6.85; 6.85; 5.73; 3.78; 93.63; 124.90; 229.20; 
17_11_2010; 06:00:15; 4.21; 996.50; 0.00; 2.27; 36.25; 88.35; 5.62; 5.62; 5.23; 4.21; 32.27; 124.81; 228.52; 
17_11_2010; 06:24:15; 4.13; 996.50; 0.00; 2.27; 45.90; 87.63; 9.86; 9.86; 8.24; 1.21; 45.86; 124.35; 1.52; 
17_11_2010; 06:48:15; 4.10; 996.50; 0.00; 2.27; 13.34; 88.61; 3.30; 4.23; 3.50; 4.10; 14.00; 124.51; 1.50; 
17_11_2010; 07:12:15; 4.21; 996.50; 0.00; 1.70; 351.71; 88.97; 3.87; 3.87; 2.56; 4.21; 329.89; 125.06; 218.00; 
17_11_2010; 07:36:15; 4.18; 996.50; 0.00; 1.42; 329.35; 89.51; 0.00; 0.00; 0.00; 4.18; -099997.00; 124.51; 221.27; 
17_11_2010; 08:00:15; 4.07; 996.50; 606.51; 6.25; 63.39; 88.70; 6.30; 9.50; 7.88; 4.07; 55.84; 124.72; 1.54; 
17_11_2010; 08:24:15; 3.99; 996.50; 2389.18; 17.92; 10.25; 89.42; 4.70; 5.15; 4.70; 3.99; 10.25; 124.63; 228.84; 
17_11_2010; 08:48:15; 3.91; 996.50; 4334.75; 28.73; 18.46; 89.60; 6.63; 8.81; 7.16; 3.71; 19.69; 125.29; 228.33; 
17_11_2010; 09:12:15; 4.05; 996.50; 6085.87; 40.11; 39.94; 91.30; 5.41; 5.41; 4.31; 4.05; 14.15; 124.80; 225.17; 
17_11_2010; 09:36:15; 4.27; 996.50; 9247.50; 62.59; 341.82; 91.48; 2.34; 2.67; 2.18; 4.27; 341.75; 125.17; 220.76; 
17_11_2010; 10:00:15; 4.13; 996.50; 11485.00; 75.96; 71.30; 91.21; 8.37; 10.02; 8.92; 2.37; 38.11; 125.32; 226.29; 
17_11_2010; 10:24:15; 3.91; 996.50; 12409.00; 82.22; 42.88; 93.35; 7.73; 8.46; 7.42; 2.68; 42.88; 124.51; 226.29; 
17_11_2010; 10:48:15; 4.21; 996.50; 9247.50; 66.57; 59.16; 92.55; 6.05; 9.83; 7.44; 4.21; 28.84; 125.60; 222.27; 
17_11_2010; 11:12:15; 4.60; 996.50; 6912.75; 46.37; 326.21; 91.75; 3.28; 3.71; 3.05; 4.60; 338.73; 125.54; 227.45; 
17_11_2010; 11:36:15; 4.57; 996.35; 7253.25; 47.23; 19.06; 91.30; 4.79; 5.62; 3.90; 4.57; 2.96; 125.43; 223.78; 
17_11_2010; 12:00:15; 4.60; 996.04; 12117.25; 80.80; 88.49; 90.76; 4.15; 4.32; 4.15; 4.60; 88.49; 125.20; 228.96; 
17_11_2010; 12:24:15; 4.49; 995.67; 8858.25; 63.16; 52.08; 90.22; 8.20; 10.39; 8.93; 2.89; 48.11; 125.64; 226.18; 
17_11_2010; 12:48:15; 4.41; 995.35; 7983.16; 53.77; 49.97; 90.22; 11.46; 12.31; 11.75; 0.42; 42.58; 124.82; 222.96; 
17_11_2010; 13:12:15; 4.63; 995.06; 5891.25; 40.68; 111.38; 90.31; 8.02; 8.02; 6.73; 3.19; 73.75; 125.96; 226.00; 
17_11_2010; 13:36:15; 4.60; 994.62; 0.00; 8.82; 52.61; 90.49; 6.82; 7.57; 6.96; 4.22; 38.02; 125.96; 216.60; 
17_11_2010; 14:00:15; 4.52; 994.32; 121.30; 13.94; 97.09; 90.49; 8.96; 14.08; 11.32; 2.32; 50.65; 125.71; 216.58; 
17_11_2010; 14:24:15; 4.57; 994.10; 5064.37; 36.41; 67.31; 90.31; 6.96; 11.24; 9.51; 4.06; 67.21; 125.45; 219.22; 
17_11_2010; 14:48:15; 4.49; 993.85; 2486.50; 18.77; 29.47; 90.85; 13.82; 14.15; 10.65; -0.89; 48.63; 125.00; 217.05; 
17_11_2010; 15:12:15; 4.24; 993.75; 1854.15; 15.64; 63.99; 93.44; 13.50; 13.50; 13.50; -1.00; 65.93; 125.63; 228.37; 
17_11_2010; 15:36:15; 4.41; 993.62; 1367.75; 10.81; 72.05; 94.88; 4.73; 4.86; 4.79; 4.41; 71.98; 125.08; 226.91; 
17_11_2010; 16:00:15; 4.57; 993.50; 768.25; 6.82; 336.30; 94.07; 3.59; 4.28; 4.00; 4.57; 351.89; 126.00; 225.53; 
17_11_2010; 16:24:15; 4.60; 993.31; 283.03; 3.12; 2.56; 93.62; 4.29; 4.29; 2.84; 4.60; 349.51; 125.33; 218.37; 
17_11_2010; 16:48:15; 4.57; 993.14; 0.00; 1.70; 43.41; 93.80; 5.02; 5.09; 5.03; 4.57; 43.20; 125.14; 226.51; 
17_11_2010; 17:12:15; 4.71; 993.14; 0.00; 1.70; 30.52; 93.53; 1.35; 1.61; 1.54; 4.71; 30.53; 125.33; 227.93; 
17_11_2010; 17:36:16; 4.79; 993.14; 0.00; 1.70; 17.56; 92.82; 1.56; 2.80; 1.93; 4.79; 17.40; 125.06; 222.25; 
17_11_2010; 18:00:15; 4.71; 993.14; 0.00; 1.99; 356.09; 93.09; 4.32; 4.82; 4.23; 4.71; 356.02; 125.47; 217.50; 
17_11_2010; 18:24:15; 4.71; 993.14; 0.00; 1.99; 3.46; 93.53; 3.28; 5.02; 3.95; 4.71; 3.34; 125.46; 227.81; 
17_11_2010; 18:48:15; 4.74; 993.14; 0.00; 2.27; 313.28; 93.53; 0.00; 0.00; 0.00; 4.74; -099997.00; 124.92; 223.42; 
17_11_2010; 19:12:15; 4.68; 993.14; 0.00; 2.27; 49.14; 94.52; 5.50; 5.50; 5.50; 4.68; 50.61; 125.09; 220.62; 
17_11_2010; 19:36:15; 4.74; 993.14; 0.00; 1.13; 351.53; 94.61; 3.15; 3.15; 2.49; 4.74; 349.91; 125.29; 218.48; 
17_11_2010; 20:00:15; 4.63; 993.01; 0.00; 1.70; 323.55; 95.05; 2.98; 2.98; 2.93; 4.63; 323.46; 125.69; 218.47; 
17_11_2010; 20:24:15; 4.71; 992.90; 0.00; 1.70; 315.28; 95.41; 1.42; 1.42; 1.41; 4.71; 315.44; 125.31; 227.01; 
17_11_2010; 20:48:15; 4.57; 992.89; 0.00; 1.70; 19.22; 95.86; 4.45; 4.66; 4.49; 4.57; 19.14; 125.27; 224.42; 
17_11_2010; 21:12:15; 4.63; 992.89; 0.00; 1.70; 23.96; 95.05; 3.11; 3.14; 3.12; 4.63; 23.96; 125.77; 1.37; 
17_11_2010; 21:36:15; 4.63; 992.89; 0.00; 1.70; 79.14; 94.52; 5.09; 5.73; 5.26; 4.63; 79.22; 125.27; 224.68; 
17_11_2010; 22:00:15; 4.74; 992.84; 0.00; 1.13; 77.71; 92.82; 3.96; 4.03; 4.00; 4.74; 77.44; 126.82; 220.26; 
17_11_2010; 22:24:15; 4.85; 992.84; 0.00; 1.99; 52.23; 92.10; 4.11; 4.40; 4.15; 4.85; 52.32; 125.41; 226.86; 
17_11_2010; 22:48:15; 4.71; 992.84; 0.00; 1.70; 78.01; 90.67; 2.29; 2.58; 2.38; 4.71; 78.20; 125.55; 217.36; 
17_11_2010; 23:12:15; 4.76; 992.78; 0.00; 1.70; 97.79; 89.60; 4.39; 4.54; 4.44; 4.76; 97.40; 125.51; 226.57; 
17_11_2010; 23:36:15; 4.79; 992.65; 0.00; 1.42; 40.92; 90.22; 1.74; 1.74; 1.65; 4.79; 40.80; 125.76; 216.64; 
