weather_HB37; 13_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
13_11_2010; 00:00:15; 15.11; 980.51; 0.00; 0.00; 109.01; 79.04; 8.16; 17.34; 12.21; 14.13; 173.21; 149.62; 225.41; 
13_11_2010; 00:24:15; 15.29; 980.51; 0.00; 0.00; 208.28; 78.42; 27.31; 27.31; 19.50; 8.59; 236.25; 150.68; 229.53; 
13_11_2010; 00:48:15; 15.29; 980.51; 0.00; 0.00; 177.71; 80.03; 22.55; 25.27; 15.69; 9.54; 196.41; 150.33; 230.19; 
13_11_2010; 01:12:15; 15.42; 980.51; 0.00; 0.00; 228.72; 78.86; 14.22; 14.22; 11.33; 11.97; 243.58; 150.42; 224.40; 
13_11_2010; 01:36:15; 15.42; 980.51; 0.00; 0.00; 195.10; 78.15; 15.45; 25.51; 18.82; 11.57; 227.33; 151.06; 228.71; 
13_11_2010; 02:00:15; 15.45; 980.51; 0.00; 0.00; 254.40; 77.70; 13.25; 13.25; 13.25; 12.33; 245.66; 151.27; 219.37; 
13_11_2010; 02:24:15; 15.50; 980.51; 0.00; 0.00; 190.26; 75.73; 22.36; 27.88; 22.06; 9.86; 234.39; 150.63; 228.91; 
13_11_2010; 02:48:15; 15.50; 980.51; 0.00; 0.00; 219.62; 75.29; 22.73; 22.73; 22.73; 9.78; 215.54; 151.29; 219.69; 
13_11_2010; 03:12:15; 15.73; 980.51; 0.00; 0.00; 193.56; 73.68; 12.68; 12.84; 11.76; 12.87; 235.30; 151.45; 222.66; 
13_11_2010; 03:36:15; 15.68; 980.51; 0.00; 0.00; 211.77; 74.21; 17.23; 20.68; 16.00; 11.36; 188.73; 151.60; 219.13; 
13_11_2010; 04:00:15; 15.68; 980.51; 0.00; 0.00; 260.69; 74.66; 18.98; 26.25; 21.38; 10.89; 261.40; 151.16; 217.46; 
13_11_2010; 04:24:15; 15.68; 980.51; 0.00; 0.00; 233.47; 74.39; 10.65; 22.73; 14.96; 13.59; 235.99; 150.95; 218.31; 
13_11_2010; 04:48:15; 15.65; 980.51; 0.00; 0.00; 236.38; 74.48; 30.41; 30.41; 22.90; 8.57; 233.15; 151.45; 221.73; 
