weather_HB37; 13_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
13_11_2010; 05:12:15; 15.60; 980.51; 0.00; 0.00; 248.49; 74.12; 15.45; 31.48; 23.28; 11.79; 238.13; 150.97; 216.92; 
13_11_2010; 05:36:15; 15.68; 980.51; 0.00; 0.00; 245.87; 73.41; 18.85; 41.32; 26.96; 10.93; 231.54; 151.00; 229.51; 
13_11_2010; 06:00:15; 15.50; 980.51; 0.00; 0.00; 258.27; 73.94; 13.43; 13.43; 13.43; 12.33; 257.81; 151.05; 217.29; 
13_11_2010; 06:24:15; 15.55; 980.51; 0.00; 0.00; 276.84; 73.50; 12.06; 13.75; 12.81; 12.89; 265.71; 151.16; 217.00; 
13_11_2010; 06:48:15; 15.50; 980.51; 0.00; 0.00; 234.53; 73.59; 17.89; 17.89; 16.64; 10.95; 232.47; 150.59; 231.01; 
13_11_2010; 07:12:15; 15.47; 980.51; 40.43; 0.00; 266.70; 73.86; 16.82; 33.89; 21.58; 11.22; 234.71; 150.57; 227.92; 
13_11_2010; 07:36:15; 15.42; 980.51; 606.51; 1.42; 260.98; 74.03; 18.85; 33.05; 25.43; 10.60; 224.85; 151.37; 217.39; 
13_11_2010; 08:00:15; 15.45; 980.51; 1270.46; 3.98; 273.60; 73.94; 13.75; 21.49; 14.08; 12.16; 264.86; 150.92; 229.12; 
13_11_2010; 08:24:15; 15.65; 980.51; 2340.56; 15.64; 175.26; 73.50; 9.77; 11.12; 9.17; 13.94; 235.03; 151.58; 226.91; 
13_11_2010; 08:48:15; 15.83; 980.51; 7156.00; 34.14; 231.14; 72.42; 28.77; 28.77; 22.31; 9.09; 226.04; 151.78; 223.62; 
13_11_2010; 09:12:15; 15.99; 980.51; 9490.75; 61.74; 263.31; 71.89; 15.70; 18.36; 11.16; 12.18; 258.78; 152.13; 227.41; 
13_11_2010; 09:36:15; 16.32; 980.51; 12020.00; 106.12; 241.61; 70.82; 30.41; 30.41; 30.41; 9.51; 220.59; 153.27; 224.79; 
13_11_2010; 10:00:15; 16.40; 980.53; 17224.50; 105.27; 187.45; 70.64; 14.66; 16.82; 15.31; 13.00; 186.39; 154.25; 224.94; 
13_11_2010; 10:24:15; 16.58; 980.53; 20914.00; 147.38; 274.46; 69.29; 21.83; 21.83; 17.75; 11.40; 265.79; 154.07; 223.82; 
13_11_2010; 10:48:15; 16.86; 980.53; 14938.50; 102.71; 217.48; 68.22; 13.25; 15.53; 14.61; 14.00; 207.30; 154.50; 223.76; 
13_11_2010; 11:12:15; 17.12; 980.62; 21167.50; 165.87; 260.78; 68.04; 9.38; 12.52; 7.41; 15.71; 257.86; 155.16; 226.05; 
13_11_2010; 11:36:15; 16.68; 980.62; 16349.00; 96.45; 265.53; 69.38; 11.00; 14.96; 10.85; 14.58; 267.60; 154.75; 224.98; 
13_11_2010; 12:00:15; 17.09; 980.62; 21083.00; 188.92; 186.10; 66.61; 13.75; 45.64; 22.83; 14.11; 246.93; 155.77; 223.61; 
13_11_2010; 12:24:15; 17.17; 980.62; 15862.50; 124.61; 264.28; 65.99; 28.77; 31.48; 22.48; 10.95; 245.51; 156.21; 225.05; 
13_11_2010; 12:48:15; 17.20; 980.62; 25942.00; 159.89; 266.02; 65.54; 31.12; 31.12; 31.12; 10.65; 266.02; 155.47; 226.61; 
13_11_2010; 13:12:15; 17.56; 980.62; 29027.54; 206.56; 261.46; 63.75; 18.85; 25.51; 20.09; 13.32; 253.96; 156.73; 222.50; 
13_11_2010; 13:36:15; 17.50; 980.62; 10269.00; 61.17; 266.99; 63.93; 13.37; 13.69; 11.01; 14.72; 262.42; 156.91; 224.72; 
13_11_2010; 14:00:15; 17.94; 980.62; 21801.00; 179.24; 312.80; 61.33; 16.62; 16.62; 12.43; 14.34; 264.00; 158.62; 224.95; 
13_11_2010; 14:24:15; 17.86; 980.62; 11144.50; 74.82; 207.02; 61.33; 20.68; 20.68; 14.88; 13.32; 228.01; 158.44; 221.00; 
13_11_2010; 14:48:15; 18.12; 980.62; 15473.50; 144.25; 275.13; 59.72; 19.79; 19.79; 17.25; 13.84; 255.42; 158.76; 221.01; 
13_11_2010; 15:12:15; 17.76; 980.62; 11047.25; 73.97; 246.64; 61.16; 3.56; 6.01; 4.90; 17.76; 234.69; 156.99; 224.03; 
13_11_2010; 15:36:15; 17.94; 980.62; 9831.00; 87.91; 256.72; 60.35; 5.96; 19.11; 10.78; 17.94; 234.82; 157.38; 222.80; 
13_11_2010; 16:00:15; 17.53; 980.62; 3945.68; 25.32; 223.78; 61.07; 13.37; 13.37; 13.37; 14.75; 241.47; 156.98; 222.81; 
13_11_2010; 16:24:15; 17.12; 980.62; 1027.28; 5.40; 232.50; 62.41; 13.13; 13.13; 13.13; 14.34; 225.60; 155.32; 226.41; 
13_11_2010; 16:48:15; 16.84; 980.62; 485.21; 0.28; 214.77; 62.94; 10.05; 11.16; 09.99; 15.12; 227.42; 154.40; 219.48; 
13_11_2010; 17:12:15; 16.50; 980.62; 0.00; 0.00; 262.14; 64.02; 3.76; 5.25; 4.20; 16.50; 254.15; 153.65; 219.76; 
13_11_2010; 17:36:15; 16.22; 980.62; 0.00; 0.00; 251.88; 65.00; 5.33; 5.96; 5.32; 16.22; 249.91; 152.84; 218.85; 
13_11_2010; 18:00:15; 15.53; 980.62; 0.00; 0.00; 234.44; 67.95; 2.06; 2.52; 2.26; 15.53; 234.53; 151.24; 229.00; 
13_11_2010; 18:24:15; 15.22; 980.62; 0.00; 0.00; 222.23; 69.20; 4.11; 6.01; 5.18; 15.22; 213.80; 150.04; 227.67; 
13_11_2010; 18:48:15; 14.91; 980.62; 0.00; 0.00; 205.08; 69.47; 4.96; 6.66; 5.56; 14.91; 197.37; 148.66; 219.89; 
13_11_2010; 19:12:15; 14.57; 980.62; 0.00; 0.00; 239.19; 70.55; 0.00; 1.85; 0.41; 14.57; 239.51; 147.59; 224.55; 
13_11_2010; 19:36:15; 14.27; 980.62; 0.00; 0.00; 246.35; 71.44; 0.00; 0.00; 0.00; 14.27; -099997.00; 146.83; 223.71; 
13_11_2010; 20:00:15; 14.09; 980.62; 0.00; 0.00; 228.24; 72.16; 3.27; 3.59; 3.36; 14.09; 228.53; 146.73; 226.86; 
13_11_2010; 20:24:15; 14.19; 980.62; 0.00; 0.00; 235.31; 71.71; 4.02; 4.02; 3.93; 14.19; 234.51; 146.35; 220.10; 
13_11_2010; 20:48:15; 14.27; 980.62; 0.00; 0.00; 245.39; 70.90; 3.78; 4.75; 4.19; 14.27; 245.00; 146.79; 228.55; 
13_11_2010; 21:12:15; 14.42; 980.62; 0.00; 0.00; 244.51; 70.28; 4.34; 5.44; 4.95; 14.42; 236.94; 146.49; 223.33; 
13_11_2010; 21:36:15; 14.93; 980.62; 0.00; 0.00; 202.66; 67.86; 5.84; 7.54; 6.85; 14.93; 199.10; 148.02; 229.12; 
13_11_2010; 22:00:15; 15.09; 980.62; 0.00; 0.00; 244.51; 66.79; 5.53; 7.36; 6.50; 15.09; 226.83; 148.86; 226.26; 
13_11_2010; 22:24:15; 15.24; 980.62; 0.00; 0.00; 204.21; 65.90; 4.40; 4.68; 3.25; 15.24; 230.10; 149.76; 227.41; 
13_11_2010; 22:48:15; 15.14; 980.62; 0.00; 0.00; 205.67; 66.07; 1.78; 1.78; 1.78; 15.14; 205.67; 149.39; 222.70; 
13_11_2010; 23:12:15; 15.01; 980.62; 0.00; 0.00; 220.10; 66.34; 3.51; 3.51; 3.51; 15.01; 220.10; 148.37; 221.08; 
13_11_2010; 23:36:15; 14.78; 980.62; 0.00; 0.00; 221.94; 67.68; 2.55; 2.55; 2.50; 14.78; 222.04; 148.33; 227.64; 
