weather_HB37; 11_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
11_11_2010; 00:00:15; 5.87; 983.43; 0.00; 1.13; 285.60; 85.93; 5.80; 6.69; 6.30; 5.87; 286.83; 126.45; 215.60; 
11_11_2010; 00:24:15; 5.51; 983.90; 0.00; 0.00; 222.62; 85.84; 8.14; 8.88; 8.13; 4.02; 249.68; 126.04; 1.49; 
11_11_2010; 00:48:15; 5.48; 984.25; 0.00; 0.28; 220.49; 87.99; 9.74; 11.41; 9.32; 2.79; 240.92; 126.00; 216.36; 
11_11_2010; 01:12:15; 5.26; 984.71; 0.00; 1.42; 239.28; 92.46; 2.57; 3.09; 2.76; 5.26; 240.11; 125.66; 217.06; 
11_11_2010; 01:36:15; 5.26; 985.07; 0.00; 1.99; 254.78; 94.16; 4.13; 4.25; 3.98; 5.26; 254.65; 125.83; 225.57; 
11_11_2010; 02:00:15; 5.29; 985.68; 0.00; 1.99; 256.53; 93.80; 3.36; 4.31; 3.83; 5.29; 256.28; 125.65; 226.94; 
11_11_2010; 02:24:15; 5.43; 986.04; 0.00; 1.99; 251.10; 93.00; 9.03; 10.68; 9.53; 3.24; 251.02; 126.20; 219.71; 
11_11_2010; 02:48:15; 5.43; 986.40; 0.00; 1.13; 260.50; 93.89; 6.88; 9.86; 8.18; 5.01; 254.17; 126.33; 217.62; 
11_11_2010; 03:12:15; 5.37; 986.64; 0.00; 1.13; 257.10; 93.98; 6.19; 6.19; 4.91; 5.37; 257.14; 126.02; 219.56; 
11_11_2010; 03:36:15; 5.51; 987.09; 0.00; 2.56; 234.73; 93.80; 9.62; 10.61; 9.84; 2.91; 232.19; 126.08; 217.51; 
11_11_2010; 04:00:15; 5.35; 987.14; 0.00; 1.99; 256.91; 94.34; 6.09; 6.09; 4.57; 5.35; 252.26; 125.55; 225.10; 
11_11_2010; 04:24:15; 5.07; 987.48; 0.00; 0.28; 259.72; 94.34; 6.64; 6.77; 6.64; 4.87; 246.21; 125.08; 220.74; 
11_11_2010; 04:48:15; 4.65; 987.75; 0.00; 0.00; 255.07; 96.75; 2.88; 3.30; 3.06; 4.65; 255.71; 125.17; 227.36; 
11_11_2010; 05:12:15; 4.38; 988.03; 0.00; 0.00; 252.07; 97.56; 6.53; 6.53; 5.96; 4.28; 252.34; 124.84; 1.56; 
11_11_2010; 05:36:15; 4.46; 988.20; 0.00; 0.28; 242.28; 97.11; 9.80; 09.99; 9.44; 1.62; 243.10; 125.36; 216.55; 
11_11_2010; 06:00:15; 4.57; 988.46; 0.00; 1.13; 239.67; 96.75; 6.15; 8.53; 6.58; 4.57; 250.26; 125.35; 1.52; 
11_11_2010; 06:24:15; 4.43; 988.67; 0.00; 3.12; 258.07; 95.41; 21.66; 25.75; 21.87; -4.51; 251.04; 124.34; 219.33; 
11_11_2010; 06:48:15; 4.27; 988.81; 0.00; 0.85; 255.07; 95.41; 8.57; 8.98; 8.72; 2.35; 252.91; 124.96; 224.14; 
11_11_2010; 07:12:15; 4.29; 988.93; 0.00; 1.70; 238.51; 95.41; 4.47; 5.48; 5.00; 4.29; 239.27; 124.98; 223.12; 
11_11_2010; 07:36:15; 4.21; 989.17; 40.43; 3.98; 247.61; 97.83; 3.49; 4.11; 3.81; 4.21; 248.14; 124.59; 222.29; 
11_11_2010; 08:00:15; 4.18; 989.17; 3848.43; 21.90; 252.07; 99.26; 5.23; 6.11; 5.24; 4.18; 253.19; 124.26; 227.46; 
