weather_HB37; 16_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
16_11_2010; 00:00:15; 5.57; 993.40; 0.00; 2.56; 348.96; 099.80; 5.15; 6.99; 5.83; 5.57; 347.03; 126.25; 222.71; 
16_11_2010; 00:24:15; 5.51; 993.42; 0.00; 1.99; 308.24; 099.80; 3.85; 3.86; 3.67; 5.51; 308.73; 126.35; 226.66; 
16_11_2010; 00:48:15; 5.26; 993.42; 0.00; 2.56; 9.12; 099.80; 4.36; 5.79; 5.09; 5.26; 322.30; 125.12; 217.12; 
16_11_2010; 01:12:15; 5.35; 993.42; 0.00; 2.27; 9.27; 099.80; 3.28; 4.78; 3.11; 5.35; 356.46; 126.12; 231.21; 
16_11_2010; 01:36:15; 5.21; 993.60; 0.00; 2.84; 2.56; 099.80; 4.62; 4.75; 4.29; 5.21; 2.31; 125.47; 224.92; 
16_11_2010; 02:00:15; 5.32; 993.62; 0.00; 2.56; 352.47; 099.80; 4.00; 4.00; 4.00; 5.32; 352.44; 125.84; 225.08; 
16_11_2010; 02:24:15; 5.24; 993.75; 0.00; 2.56; 318.51; 099.80; 2.05; 2.32; 2.15; 5.24; 318.51; 125.75; 217.23; 
16_11_2010; 02:48:15; 5.10; 993.87; 0.00; 2.56; 299.58; 099.80; 3.38; 4.69; 3.91; 5.10; 303.05; 125.06; 230.96; 
16_11_2010; 03:12:15; 5.04; 993.98; 0.00; 2.27; 318.22; 099.80; 3.67; 4.15; 3.90; 5.04; 318.43; 125.07; 217.16; 
16_11_2010; 03:36:15; 4.90; 994.04; 0.00; 2.56; 306.05; 099.80; 6.61; 8.20; 7.37; 4.73; 305.89; 125.81; 222.33; 
16_11_2010; 04:00:15; 4.85; 994.25; 0.00; 2.27; 279.41; 099.80; 2.08; 2.73; 2.24; 4.85; 278.44; 125.55; 228.67; 
16_11_2010; 04:24:15; 4.76; 994.25; 0.00; 3.12; 331.45; 099.80; 4.83; 9.96; 7.41; 4.76; 307.82; 124.76; 219.64; 
16_11_2010; 04:48:15; 4.79; 994.25; 0.00; 3.12; 358.18; 099.80; 7.42; 10.09; 7.83; 3.87; 349.53; 124.80; 217.40; 
16_11_2010; 05:12:15; 4.74; 994.25; 0.00; 1.42; 318.51; 099.80; 2.85; 2.91; 2.85; 4.74; 318.51; 125.04; 216.35; 
16_11_2010; 05:36:15; 4.71; 994.25; 0.00; 2.27; 5.35; 099.80; 8.31; 8.31; 7.86; 3.04; 11.19; 125.24; 227.38; 
16_11_2010; 06:00:15; 4.79; 994.25; 0.00; 2.27; 332.50; 099.80; 4.24; 4.73; 4.48; 4.79; 326.28; 125.21; 231.17; 
16_11_2010; 06:24:15; 4.82; 994.40; 0.00; 3.12; 293.87; 099.80; 0.00; 2.01; 1.17; 4.82; 293.53; 124.88; 222.78; 
16_11_2010; 06:48:15; 4.76; 994.57; 0.00; 2.56; 308.24; 099.80; 0.00; 1.55; 0.00; 4.76; 323.46; 124.21; 223.81; 
16_11_2010; 07:12:15; 4.68; 994.82; 0.00; 3.41; 294.53; 099.80; 4.44; 5.98; 5.06; 4.68; 294.83; 124.41; 1.54; 
16_11_2010; 07:36:15; 4.54; 994.95; 121.30; 4.26; 312.80; 099.80; 11.86; 11.86; 9.63; 0.32; 329.10; 124.94; 1.49; 
16_11_2010; 08:00:15; 4.49; 995.29; 768.25; 7.96; 320.89; 099.80; 6.01; 6.01; 4.75; 4.49; 325.52; 124.90; 1.54; 
16_11_2010; 08:24:15; 4.54; 995.42; 2146.00; 16.21; 346.77; 099.80; 5.64; 7.49; 6.27; 4.54; 329.98; 124.57; 218.72; 
16_11_2010; 08:48:15; 4.63; 995.53; 5939.87; 38.97; 341.06; 099.80; 9.50; 9.50; 9.50; 2.02; 341.07; 125.17; 220.22; 
16_11_2010; 09:12:15; 4.71; 995.78; 6864.12; 40.40; 11.75; 099.80; 3.11; 3.26; 3.13; 4.71; 11.68; 124.98; 219.07; 
16_11_2010; 09:36:15; 4.85; 995.90; 9344.75; 59.18; 318.22; 099.80; 9.19; 12.46; 10.70; 2.49; 318.44; 125.30; 1.43; 
