weather_HB37; 18_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
18_11_2010; 00:00:15; 4.71; 992.65; 0.00; 1.70; 73.49; 90.40; 0.00; 0.00; 0.00; 4.71; -099997.00; 125.54; 223.50; 
18_11_2010; 00:24:15; 4.93; 992.65; 0.00; 1.99; 162.20; 89.51; 4.09; 4.09; 3.65; 4.93; 163.65; 125.68; 227.78; 
18_11_2010; 00:48:15; 5.07; 992.54; 0.00; 1.99; 217.68; 88.97; 1.81; 2.20; 1.91; 5.07; 217.58; 125.47; 218.17; 
18_11_2010; 01:12:15; 5.10; 992.54; 0.00; 0.85; 226.50; 89.42; 0.00; 0.00; 0.00; 5.10; -099997.00; 125.80; 224.06; 
18_11_2010; 01:36:15; 5.12; 992.54; 0.00; 1.99; 238.32; 88.97; 0.00; 0.00; 0.00; 5.12; -099997.00; 125.23; 223.00; 
18_11_2010; 02:00:15; 5.12; 992.54; 0.00; 0.85; 243.74; 89.69; 0.00; 0.00; 0.00; 5.12; -099997.00; 126.25; 223.14; 
18_11_2010; 02:24:15; 5.35; 992.54; 0.00; 1.13; 228.43; 88.08; 2.63; 2.87; 2.67; 5.35; 228.28; 126.10; 222.81; 
18_11_2010; 02:48:15; 5.12; 992.54; 0.00; 0.85; 269.50; 90.58; 0.00; 0.00; 0.00; 5.12; -099997.00; 126.33; 1.49; 
18_11_2010; 03:12:15; 4.79; 992.54; 0.00; 1.70; 214.48; 91.57; 2.13; 2.13; 2.06; 4.79; 214.71; 125.65; 229.73; 
18_11_2010; 03:36:15; 4.96; 992.54; 0.00; 0.85; 206.05; 92.10; 1.81; 2.03; 1.93; 4.96; 206.57; 126.00; 217.74; 
18_11_2010; 04:00:15; 4.85; 992.54; 0.00; 1.13; 215.84; 92.82; 0.00; 0.00; 0.00; 4.85; -099997.00; 125.10; 223.83; 
18_11_2010; 04:24:15; 4.65; 992.54; 0.00; 1.13; 216.03; 95.14; 0.00; 0.00; 0.00; 4.65; -099997.00; 125.87; 220.55; 
18_11_2010; 04:48:15; 4.85; 992.54; 0.00; 1.42; 215.64; 93.09; 0.00; 0.00; 0.00; 4.85; -099997.00; 125.55; 225.32; 
18_11_2010; 05:12:15; 4.88; 992.54; 0.00; 2.27; 247.42; 93.53; 1.60; 1.93; 1.60; 4.88; 247.12; 125.32; 217.35; 
18_11_2010; 05:36:15; 4.71; 992.54; 0.00; 1.70; 238.32; 94.61; 3.04; 3.04; 2.99; 4.71; 238.41; 125.43; 222.02; 
18_11_2010; 06:00:15; 4.88; 992.54; 0.00; 1.70; 230.76; 93.71; 1.67; 1.86; 1.73; 4.88; 231.05; 125.36; 230.13; 
18_11_2010; 06:24:15; 4.63; 992.54; 0.00; 1.99; 247.61; 94.97; 2.14; 2.17; 2.15; 4.63; 247.71; 124.65; 222.62; 
18_11_2010; 06:48:15; 4.68; 992.54; 0.00; 0.56; 248.00; 94.97; 0.00; 0.00; 0.00; 4.68; -099997.00; 125.51; 224.03; 
18_11_2010; 07:12:15; 4.38; 992.54; 0.00; 1.42; 181.54; 94.34; 3.38; 3.40; 3.36; 4.38; 181.44; 124.86; 223.90; 
18_11_2010; 07:36:15; 4.74; 992.54; 283.03; 3.41; 225.53; 93.89; 2.61; 3.07; 2.77; 4.74; 225.23; 125.17; 224.11; 
18_11_2010; 08:00:15; 4.41; 992.54; 1805.53; 12.80; 255.17; 94.07; 1.56; 1.94; 1.69; 4.41; 254.88; 124.63; 226.10; 
18_11_2010; 08:24:15; 4.21; 992.54; 4383.37; 34.14; 236.28; 94.52; 6.36; 9.01; 7.36; 4.21; 239.60; 124.76; 1.47; 
18_11_2010; 08:48:15; 4.38; 992.54; 6183.12; 46.09; 246.94; 93.89; 6.10; 8.00; 6.92; 4.38; 244.61; 125.62; 219.90; 
18_11_2010; 09:12:15; 4.29; 992.54; 12068.50; 84.21; 221.55; 94.34; 8.31; 09.99; 9.38; 2.60; 207.36; 125.36; 1.50; 
18_11_2010; 09:36:15; 4.32; 992.54; 14257.50; 102.71; 199.37; 94.52; 6.48; 6.48; 5.25; 4.28; 214.98; 124.87; 220.49; 
18_11_2010; 10:00:15; 4.74; 992.54; 12263.25; 86.20; 219.91; 92.73; 5.37; 5.37; 4.38; 4.74; 219.49; 125.68; 220.77; 
