weather_HB37; 14_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
14_11_2010; 00:00:15; 14.86; 980.62; 0.00; 0.00; 226.78; 67.77; 4.67; 4.67; 4.07; 14.86; 229.16; 147.83; 226.05; 
14_11_2010; 00:24:15; 14.93; 980.62; 0.00; 0.00; 238.22; 68.67; 2.94; 2.94; 2.59; 14.93; 238.22; 149.21; 219.27; 
14_11_2010; 00:48:15; 14.78; 980.62; 0.00; 0.00; 239.86; 69.29; 0.00; 0.00; 0.00; 14.78; -099997.00; 148.37; 223.43; 
14_11_2010; 01:12:15; 14.73; 980.62; 0.00; 0.00; 238.80; 69.47; 2.87; 3.89; 3.26; 14.73; 238.73; 148.25; 219.83; 
14_11_2010; 01:36:15; 14.78; 980.62; 0.00; 0.00; 238.60; 69.12; 4.31; 4.63; 4.29; 14.78; 238.35; 148.03; 226.27; 
14_11_2010; 02:00:15; 14.60; 980.62; 0.00; 0.00; 250.71; 69.12; 0.00; 0.00; 0.00; 14.60; -099997.00; 147.83; 224.07; 
14_11_2010; 02:24:15; 11.00; 980.62; 0.00; 0.00; 345.72; 82.71; 4.73; 4.86; 4.73; 11.00; 345.72; 140.94; 217.90; 
14_11_2010; 02:48:15; 10.97; 980.62; 0.00; 0.00; 348.48; 82.44; 5.15; 5.21; 5.18; 10.97; 348.28; 138.62; 220.01; 
14_11_2010; 03:12:15; 10.24; 980.62; 0.00; 0.00; 323.36; 85.66; 3.72; 3.75; 3.71; 10.24; 323.28; 136.88; 219.42; 
14_11_2010; 03:36:15; 9.88; 980.62; 0.00; 0.00; 319.56; 87.00; 1.32; 1.41; 0.58; 9.88; 331.01; 137.17; 228.00; 
14_11_2010; 04:00:15; 9.44; 980.62; 0.00; 0.00; 326.21; 88.35; 0.00; 1.63; 1.03; 9.44; 326.21; 136.22; 229.41; 
14_11_2010; 04:24:15; 8.42; 980.62; 0.00; 0.00; 334.68; 91.75; 2.21; 2.37; 2.13; 8.42; 335.00; 134.17; 226.94; 
