bld=02 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
20_07_2012; 00:00:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 00:54:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 01:42:45; 81.100; 0.000; 24.10; 24.30;
20_07_2012; 02:36:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 03:24:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 04:12:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 05:00:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 05:48:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 06:36:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 07:24:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 08:12:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 09:00:45; 81.100; 0.000; 24.20; 24.20;
20_07_2012; 09:48:45; 81.100; 0.000; 24.10; 24.10;
20_07_2012; 10:36:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 11:24:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 12:12:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 13:00:45; 81.100; 0.000; 24.00; 24.20;
20_07_2012; 13:48:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 14:36:45; 81.100; 0.000; 24.00; 24.20;
20_07_2012; 15:24:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 16:12:45; 81.100; 0.000; 24.00; 24.20;
20_07_2012; 17:00:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 17:54:45; 81.100; 0.000; 24.00; 24.20;
20_07_2012; 18:42:45; 81.100; 0.000; 24.10; 24.20;
20_07_2012; 19:30:45; 81.100; 0.000; 24.00; 24.20;
20_07_2012; 20:18:45; 81.100; 0.000; 24.00; 24.20;
20_07_2012; 21:06:45; 81.100; 0.000; 24.00; 24.10;
20_07_2012; 21:54:45; 81.100; 0.000; 24.00; 24.10;
20_07_2012; 22:42:45; 81.100; 0.000; 23.90; 24.10;
20_07_2012; 23:30:45; 81.100; 0.000; 24.00; 24.10;
