bld=01 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
20_07_2012; 00:00:45; 535.700; 0.000; 26.10; 24.50;
20_07_2012; 00:48:45; 535.700; 0.000; 26.10; 24.40;
20_07_2012; 01:36:45; 535.700; 0.000; 26.10; 24.50;
20_07_2012; 02:24:45; 535.700; 0.000; 26.00; 24.40;
20_07_2012; 03:12:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 04:00:45; 535.700; 0.000; 26.00; 24.40;
20_07_2012; 04:49:37; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 05:36:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 06:24:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 07:12:45; 535.700; 0.000; 26.10; 24.30;
20_07_2012; 08:00:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 08:48:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 09:36:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 10:24:45; 535.700; 0.000; 26.00; 24.40;
20_07_2012; 11:12:45; 535.700; 0.000; 26.10; 24.30;
20_07_2012; 12:00:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 12:48:45; 535.700; 0.000; 26.00; 24.20;
20_07_2012; 13:37:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 14:25:45; 535.700; 0.000; 26.00; 24.30;
20_07_2012; 15:13:45; 535.700; 0.000; 26.10; 24.30;
20_07_2012; 16:01:45; 535.700; 0.000; 25.90; 24.20;
20_07_2012; 16:49:45; 535.700; 0.000; 25.90; 24.20;
20_07_2012; 17:38:45; 535.700; 0.000; 25.80; 24.10;
20_07_2012; 18:26:45; 535.700; 0.000; 25.80; 24.10;
20_07_2012; 19:14:45; 535.700; 0.000; 25.80; 24.10;
20_07_2012; 20:02:45; 535.700; 0.000; 25.80; 24.00;
20_07_2012; 20:52:45; 535.700; 0.000; 25.60; 23.90;
20_07_2012; 21:41:45; 535.700; 0.000; 25.70; 23.90;
20_07_2012; 22:29:45; 535.700; 0.000; 25.60; 23.90;
20_07_2012; 23:17:45; 535.700; 0.000; 25.70; 23.90;
